001_00	یس (یا.سین)
002_00	سوگند به قرآن حکیم
003_00	که تو قطعاً از پیامبران (ما) هستی.
004_00	بر راه راست (قرار داری).
005_00	(این قرآن) فرو فرستاده ی (خداوند) پیروزمند مهربان (است).
006_00	تا گروهی را هشدار دهی که نیاکانشان هشدار نیافته اند، پس آنان غافلند.
007_00	به راستی فرمان (الهی) بر بیشتر آنان تحقق یافته است، پس آنان ایمان نمی آورند.
008_00	بی گمان ما در گردنهای آنان غلهایی قرار دادیم پس آن (غلها) تا چانه ها است، لذا سرهایشان را بالا نگاه داشته است.
009_00	و پیش روی آنان سدی (= دیواری) و از پشت سرشان (نیز) سدی قراردادیم، آنگاه (دیدگان) آنان را پوشاندیم، لذا آنان نمی بینند.
010_00	و (ای پیامبر) بر آنان یکسان است، چه آنها را هشدار دهی و یا هشدارشان ندهی، ایمان نمی آورند.
011_00	(ای پیامبر) تو تنها کسی را هشدار می دهی که از (این) پند پیروی کند، و در نهان از (خدای) رحمان بترسد، پس او را به آمرزش و پاداشی گرامی بشارت ده.
012_00	یقیناً ماییم که مردگان را زنده می کنیم، و آنچه را (از اعمال نیک و بد) که از پیش فرستاده اند، و آثار (و گامهای) شان را می نویسیم، و همه چیز را در کتاب روشنگر (لوح محفوظ) شمار کرده ایم.
013_00	و (ای پیامبر) برای آنها مثال (و داستان) مردم آن قریه (انطاکیه) را بزن، چون رسولان (ما) بدان جا آمدند.
014_00	آنگاه که دو نفر (از رسولان) را به سوی آنها فرستادیم، پس آنان را تکذیب کردند، سپس با (فرستادن) سومی (آن دو را) تقویت کردیم، پس گفتند: «همانا ما به سوی شما فرستاده شده ایم» .
015_00	(آنها در پاسخ) گفتند: شما جز بشری همانند ما نیستید، و (خداوند) رحمان چیزی را نازل نکرده است، شما فقط دروغ می گویید.
016_00	(پیامبران) گفتند:« پروردگار ما می داند که ما قطعاً به سوی شما فرستاده شده ایم.
017_00	و بر (عهده ی) ما جز رساندن (پیام) آشکار نیست».
018_00	(آنها) گفتند: «بی گمان ما شما را به فال بد گرفته ایم، اگر دست بر ندارید البته سنگسارتان خواهیم کرد، و ازسوی ما عذاب (و شکنجه) دردناکی به شما خواهد رسید».
019_00	(پیامبران) گفتند:« شومی (و فال بد) تان با خود شماست، اگر به شما پند داده شود (چنین می گویید، و به فال بد می گیرید؟!) بلکه (حقیقت این است که) شما مردمی اسرافکار هستید».
020_00	و مرد (مؤمنی) از دورترین نقطه شهر شتابان آمد، (و خطاب به مردم) گفت: «ای قوم من! پیامبران (خدا) را پیروی کنید.
021_00	کسانی را پیروی کنید که از شما مزدی طلب نمی کنند، و خودشان هدایت یافته اند.
