001_00	طه (طا. ها).
002_00	(ای پیامبر! ما) قرآن را برتو نازل نکردیم که به مشقت افتی.
003_00	مگر (آن) یاد آوری برای کسی است که (از خدا) می ترسد.
004_00	(این قرآن) فرو فرستاده شده از سوی کسی که زمین و آسمانهای بلند را آفریده است .
005_00	(خداوند) رحمان (است که) بر عرش قرار گرفت.
006_00	از آن اوست آنچه در آسمانها و آنچه در زمین، و آنچه میان آن دو است، و آنچه زیر خاک (پنهان) است.
007_00	و اگر سخن آشکارا بگویی (یا آن را پنهان داری) بی گمان او (راز) نهان و نهان تر را می داند.
008_00	(او) الله است، که هیچ معبودی جزاو نیست؛ نامهای نیکو از آن اوست.
009_00	و(ای پیامبر!) آیا خبر موسی به تو رسیده است ؟
010_00	هنگامی که آتشی را (ازدور) دید، پس به خانواده ی خود گفت: «(لحظه ای) درنگ کنید، همانا من آتشی را دیده ام شاید شعله ای از آن برای شما بیاورم، یا بر آن آتش راهنمایی بیابم».
011_00	پس چون نزد آن (آتش) آمد، ندا داده شد که : «ای موسی!
012_00	همانا من پروردگار تو هستم، پس کفشهایت را بیرون کن، که تو در وادی مقدس طوی هستی .
013_00	و من تو را (به پیامبری) بر گزیدم، پس به آنچه (بر تو) وحی می شود، گوش فرا ده.
014_00	یقیناً من «الله» هستم، هیچ معبودی (به حق) جز من نیست، پس مرا پرستش کن، و نماز را برای یاد من بر پا دار.
015_00	قطعاً قیامت خواهد آمد، می خواهم (وقت) آن را پنهان دارم، تا هر کس در برابر سعی (و اعمالی) که می کند جزا داده شود.
016_00	پس مبادا کسی که به آن ایمان ندارد، و از هوسهای خود پیروی می کند، تو را از آن باز دارد، که هلاک خواهی شد .
017_00	و ای موسی ! آن چیست به (دست) راستت؟»
018_00	گفت: «این عصای من است، بر آن تکیه می کنم، و با آن برای گوسفندانم (برگ درختان) فرو می ریزم، و مرا با آن کارهای دیگری (نیز) است (که بر آورده می کنم) .
019_00	فرمود: «ای موسی! آن را بیفکن»
020_00	پس (موسی) آن (عصا) را افکند، که ناگهان ماری شد که (به هر سو) می دوید.
021_00	فرمود :«آن را بگیر و نترس، به زودی آن را به صورت اولش باز می گردانیم.
022_00	و دستت در بغل خود کن، تا سفید (و) بی عیب بیرون آید، (این نیز) معجزه ی دیگری است.
023_00	تا آیات (و نشانه های) بزرگ خود را به تو نشان دهیم.
024_00	(اینک) به سوی فرعون برو، بی گمان او سرکشی کرده است ».
025_00	(موسی) گفت : «پروردگارا ! سینه ام را برایم بگشا.
026_00	و کارم را برایم آسان گردان.
027_00	و گره از زبانم باز کن.
028_00	تا سخنانم را بفهمند.
029_00	و برای من (یاور و) وزیری از خاندانم قرار ده .
030_00	برادرم هارون را.
031_00	به (وسیله ی) او پشت مرا محکم کن،
032_00	و او را در کار (رسالت) من شریک ساز،
033_00	تا تو را بسیار تسبیح گوییم،
034_00	و بسیار تو را یاد کنیم،
035_00	بی شک تو به (حال) ما خوب بینایی ».
036_00	فرمود :«ای موسی ! هر چه خواستی به تو داده شد.
037_00	و به تحقیق ما بار دیگر (نیز) بر تو منت نهاده ایم (و نعمت بخشیده ایم)
038_00	آن هنگام که به مادرت الهام کردیم، آنچه راکه باید الهام می شد،
