001_00	ق, سوگند به قرآن مجید (که تو پیامبر خدایی).
002_00	بلکه آنها تعجب کردند که هشدار دهنده ای از (میان) خودشان به سوی آنان آمده, پس کافران گفتند: «این چیزی عجیب است,
003_00	آیا هنگامی که مردیم وخاک شدیم, (دوباره برا نگیخته خواهیم شد؟!) این باز گشتی بعید است».
004_00	به راستی ما می دانیم آنچه را زمین از آنها می کاهد, وکتابی که همه چیز درآن نگهداری شده, نزد ماست.
005_00	بلکه آنها حق را هنگامی که به سراغشان آمد تکذیب کردند, پس آنان در کاری سر گردان (وپریشان) هستند.
006_00	آیا آنها به آسمان بالای سرشان نمی نگرند که چگونه آن را بنا کرده ایم وآراسته ایم, وهیچ شکافی در آن نیست؟!
007_00	وزمین را گستردیم ودر آن کوههای بلند (واستوار) افکندیم, واز هر نوع (گیاه) خوش منظر در آن رویاندیم.
008_00	(تا همۀ اینها) بینش وپندی برای هر بندۀ توبه کاری باشد.
009_00	واز آسمان آبی پر برکت نازل کردیم, پس با آن باغها ودانه (های) درو شدنی رویاندیم,
010_00	ونخلهای بلند (قامت) که خوشه های برهم چیده دارند.
011_00	(همه ی اینها) برای روزی بندگان (رویا نیدیم) وبا آن (باران) سرزمین مرده را زنده کردیم, بر آمدن (از گور وزنده شدن نیز) چنین است.
012_00	پیش از آنها قوم نوح واصحاب رسّ (= چاه, که در یمامه بودند). و(قوم) ثمود (پیامبرانشان را) تکذیب کردند.
013_00	و (همچنین قوم) عاد و فرعون وقوم لوط.
014_00	و اصحاب "ایکه" (= قوم شعیب) وقوم "تبّع" (حمیری, که در یمن بودند) هر یک (از آنها) رسولان (الهی) را تکذیب کردند, پس وعدۀ عذاب (وبیم) من (بر آنها) تحقّق یافت.
015_00	آیا ما از آفرینش نخستین عاجز ماندیم؟! (خیر) بلکه آنها (با این همه دلایل) از آفرینش جدید در تردید (وشک) اند.
016_00	به راستی ما انسان را آفریده ایم وچیزی را که نفسش به او وسوسه می کند می دانیم, وما از (شاه) رگ گردن به او نزدیکتریم.
