001_00	کسانی که کافر شدند و (مردم را) از راه خدا بازداشتند, (خداوند) اعمال آنان را نابود کرد.
002_00	وکسانی که ایمان آوردند وکارهای شایسته انجام دادند وبه آنچه بر محمد (صلی الله علیه وآله وسلم) نازل شده ـ وهمه از سوی پروردگارشان حق است ـ (نیز) ایمان آوردند, (خداوند) گناهانشان را از آنها دور ساخت (وبخشید) وکارشان را اصلاح نمود.
003_00	این بدان سبب است که کسانی که کافر شدند از باطل پیروی کردند, وهمانا کسانی که ایمان آوردند از حقی که از سوی پروردگارشان (نازل شده) است پیروی کردند, این گونه خداوند برای مردم مثلهایشان را بیان می کند.
004_00	پس هنگامی که (در میدان نبرد) روبرو شدید با کسانی که کفر ورزیدند, گردنها (یشان) را بزنید, (ونبرد را ادامه دهید) تا هنگامی که (بسیاری از) آنها را از پای در آوردید و) کشتید, پس بند (اسیران) را محکم ببندید, آنگاه پس از آن یا بر آنان منت گذارید (وآزادشان کنید) یا (از
004_01	آنان) فدیه بگیرید (و رهایشان کنید) تا جنگ بار سنگین خود را (بر زمین) نهد, (حکم) این است, واگر خدا می خواست از آنها انتقام می گرفت ولیکن (می خواهد) بعضی از شما را با بعضی دیگر بیازماید, وکسانی که در راه خدا کشته شدند, پس (خداوند) هرگز اعمال آنها را نابود نمی کند.
005_00	به زودی آنها را هدایت می نماید و(حال و) کارشان را اصلاح می کند.
006_00	وآنها را به بهشتی که (اوصافش) برای آنها بیان داشته است, وارد می کند( ).
007_00	ای کسانی که ایمان آورده اید! اگر (دین) خدا را یاری کنید, (خداوند) شما را یاری می کند وگامهایتان را (ثابت و) استوار می دارد.
008_00	وکسانی که کافر شدند, مرگ بر آنان باد! و(خداوند)اعمالشان را نابود كرد.
009_00	این بدان سبب است که آنان آنچه را که خداوند نازل کرده است ناپسند داشتند, پس خداوند اعمالشان را تباه (ونابود) کرد.
010_00	آیا در زمین سیر نکردند تا بنگرند عاقبت کسانی که پیش از آنها بودند چگونه بود؟ خداوند (اموال و دیارشان را) بر سرشان ویران کرد, (و آنها را نابود ساخت), وبرای کافران (کیفری) مانند آن خواهد بود.
011_00	این بدان سبب است که خداوند یاور (ومولای) کسانی است که ایمان آوردند, وآنکه کافران (مولا و) یاوری ندارند.
012_00	بی گمان خداوند کسانی را که ایمان آوردند وکارهای شایسته انجام دادند به باغهایی (از بهشت) وارد می کند که نهرها از زیر (درختان)
012_01	آن جاری است, وکسانی که کافر شدند (از متاع دنیوی) بهره می گیرند ومی خورند همچنانکه چار پایان می خورند, وآتش (جهنم) جایگاه آنان است.
013_00	وچه بسیار شهرهایی که (مردم) آنها از (مردم) شهر تو که بیرونت کرده اند( ), توانمندتر بودند, ما هلاکشان کردیم, پس هیچ یاوری نداشتند.
014_00	آیا کسی که از سوی پروردگارش بر شیوه روشنی باشد, همانند کسی است که کردار بد او در نظرش آراسته شده واز هواهای (نفسانی) خود پیروی می کنند؟!
015_00	وصف بهشتی که به پر هیزگاران وعده داده شده, چنین است که: در آن نهرهایی از آب (زلال) بد بو نشده, ونهرهایی از شیر که طعم آن دگرگون نگشته,
015_01	ونهرهایی از شراب (ناب) که مایۀ لذت نوشندگان است, ونهرهایی از عسل مصفی وجود دارد, و(نیز) در آن برای آنها از هرگونه میوه ها (مهیا) است, و(از همه برتر)
015_02	آمرزشی از سوی پروردگارشان است. (آیا اینها) همانند کسانی هستند که همیشه در آتش (جهنم) اند, واز آب جوشان نوشانده شوند که روده هایشان را پاره پاره (و متلاشی) کند؟
016_00	(ای پیامبر) گروهی از آنها (= منافقان) به تو گوش فرا می دهند, تا وقتی که از نزدت بیرون رفتند, به کسانی که به آنان علم عطا کرده شده, (از روی استهزاء) می گویند: «الآن (محمد) چه گفت؟!»
016_01	آنها کسانی هستند که خداوند بر دلهایشان مهر نهاده, واز هواهای (نفسانی) خود پیروی کرده اند.
017_00	وکسانی که هدایت یافته اند (خداوند) بر هدایتشان افزود, وبه آنان پر هیزگاری عطا فرمود.
018_00	پس آیا آنها (= کافران) جز این انتظار دارند که قیامت ناگهان فرارسد؟ به راستی نشانه هایش آمده است( ), پس چون فرا رسد, پند گرفتن (و ایمان) شان چه سودی خواهد داشت؟!
019_00	پس (ای پیامبر) بدان که معبودی (به حق) جز "الله" نیست, وبرای گناه خود وبرای مردان وزنان مؤمن آمرزش طلب کن, وخداوند محل حرکت شما وقرار گاه شما را می داند.
020_00	وکسانی که ایمان آورده اند می گویند: «چرا سوره ای نازل نشده؟!
020_01	(که فرمان جهاد را بدهد؟)».
020_02	پس چون سوره ای محکم (وروشن) نازل شود ودر آن (سخن از) جنگ ذکر شده باشد, کسانی که در دلهایشان بیماری است می بینی که همچون کسی که در سکرات مرگ (قرار گرفته و) بیهوش شده باشد به تو نگاه می کنند, پس برای آنان شایسته تر است( ).
021_00	فرمانبر داری (نمودن) وسخن نیکو (گفتن), پس چون تصمیم قطعی (جهاد) گرفته شد, اگر با خدا صادق باشند برای آنها بهتر است.
022_00	پس آیا اگر به حکومت رسیدید, جز این (امید) است که در زمین فساد کنید, وپیوند خویشاوندانتان را ببرید؟!( )
023_00	اینان کسانی هستند که خداوند لعنتشان کرده است, پس (گوشهای) آنان را کر نموده وچشمهایشان را نابینا کرده است.
024_00	آیا در قرآن تدبّر نمی کنند یا بر دلهایشان قفلهاست؟!
025_00	بی گمان کسانی که بعد از روشن شدن (راه) هدایت برای آنها, به پشت سر خود باز گشتند (ومرتد شدند) شیطان (اعمال زشتشان را) برای آنها بیا راست, و(با آرزوهای دراز) فریبشان داد.
026_00	این بدان سبب است که آنها (=منافقان) به کسانی (= یهودیان) که نسبت به آنچه خدا نازل کرده (از وحی) کراهت داشتند, گفتند: «ما در پاره ای از امور از شما پیروی می کنیم» وخداوند پنهانکاری آنها را می داند.
027_00	پس (حال آنها) چگونه خواهد بود هنگامی که فرشتگان (مرگ) جانهایشان را می گیرند, بر چهره ها وپشتهایشان می زنند.
028_00	این (کیفر) بدان سبب است که آنها از آنچه خدا را به خشم می آورد پیروی کردند, و خشنودیش را کراهت داشتند, پس (خداوند) اعمالشان را نابود کرد.
