001_00	حم (حا. میم)
002_00	نازل شدن (این) کتاب از سوی خداوند پیروزمند داناست.
003_00	آمرزنده گناه، و پذیرنده توبه، سخت عقوبت، صاحب نعمت است، هیچ معبودی (به حق) جز او نیست، بازگشت به سوی اوست.
004_00	در آیات خدا جز کسانی که کافر شدند، جدال نمی کنند، پس رفت و آمد آنان در شهرها تو را نفریبد.
005_00	پیش از آنها قوم نوح و گروههای (دیگر) پس از آنان (بودند، پیامبرانشان را) تکذیب کردند، و هر امتی آهنگ آن کرد که پیامبرش را دستگیر
005_01	کند، و به باطل جدال کردند، تا با آن حق را از میان بردارند، پس من آنها را (فرو) گرفتم پس (بنگر) عقوبت من چگونه بود؟!
006_00	و این گونه فرمان پروردگارت بر کسانی که کافر شدند محقق شد، که آنها اهل آتشند.
007_00	کسانی که عرش را حمل می کنند، و آنان که بر گرد آن هستند به ستایش پروردگارشان تسبیح می گویند، و به او ایمان دارند و برای کسانی که ایمان آورده اند استغفار می کنند.
007_01	(می گویند:) «پروردگارا! رحمت و علم تو همه چیز را فرا گرفته است، پس برای کسانی که توبه کرده اند، و راه تو را پیروی کرده اند، بیامرز، و آنان را از عذاب دوزخ نگه دار».
008_00	پروردگارا! و آنها را به باغهای جاویدان (بهشت) که به آنها وعده داده ای وارد کن، و (همچنین) هر که صالح باشد از پدران شان، و همسرانشان و فرزندانشان (به همان بهشت وارد کن) همانا تویی که پیروزمند حکیمی.
009_00	و آنها را از بدیها نگاهدار، و هر کس را که در آن روز از (کیفر) بدیها نگاهداری مسلماً به او رحم کرده ای، و این همان کامیابی بزرگ است.
010_00	بی گمان کسانی را که کافر شدند (روز قیامت) ندا می زنند که: حقا که خشم (و دشمنی) خداوند (نسبت به شما) از خشم (و دشمنی) خودتان (نسبت به خودتان) بیشتر است، آنگاه که به (سوی) ایمان دعوت می شدید، پس شما انکار می کردید.
011_00	گویند:«پروردگارا! ما را دوبار میراندی و دو با زنده کردی( )، پس (اکنون) به گناهان خود اعتراف کردیم، آیا راهی برای خروج (از جهنم) وجود دارد؟»
012_00	(به آنها گفته می شود:) این (عذاب) بدان سبب است که چون خدا به تنهایی خوانده می شد، انکار می کردید، و اگر به او شرک آورده می شد ایمان می آوردید، پس (اینک) داوری از آن خداوند بلند مرتبه است.
013_00	او کسی است که آیات خود را به شما نشان می دهد و از آسمان برای شما روزی می فرستد، تنها کسی پند می گیرد که (به سوی خدا) رجوع می کند.
014_00	پس خدا را در حالی که دین خود را برای او خالص گردانیدید بخوانید ، و اگر چه کافران خوش نداشته باشند( ).
015_00	(او) بالا برنده درجات( ) صاحب عرش، که روح (= وحی) را به فرمان خویش بر هر کس از بندگانش که بخواهد می فرستد، تا (او مردم را) از روز ملاقات (= قیامت) بترساند.
016_00	روزی که (همه) آنان آشکار شوند چیزی از آنها بر خدا پوشیده نخواهد ماند، (خداوند می فرماید:) « امروز فرمانروایی از آن کیست؟»( ) (آنگاه خود می فرماید:) از آن خداوند یگانه قهّار است.
017_00	امروز هر کس به (حسب) آنچه کرده است، پاداش داده می شود، امروز هیچ ستمی نیست، بی گمان خداوند زود شمار است.
018_00	و آنها را از روز نزدیک (= قیامت) بترسان، آنگاه که دلها لبریز از غم به حنجره ها رسد، برای ستمکاران نه دوستی وجود دارد، و نه شفیعی که (شفاعتش) پذیرفته شود.
019_00	(خدا) خیانت چشم ها و آنچه را که سینه ها پنهان می دارند، می داند.
020_00	و خداوند به حق داوری می کند، و کسانی را که بجای او می خوانند، به هیچ چیزی داوری نمی کنند، بی گمان خداوند همان شنوای بیناست.
021_00	آیا آنها در زمین سیر نکرده اند پس بنگرند که سر انجام کسانی که پیش از آنها بودند، چگونه بود؟!
021_01	آنها در توانایی و (پدید آوردن) آثار در زمین از اینها برتر (و سخت تر) بودند، پس خداوند آنها را به (سبب) گناهانشان (فرو) گرفت، و برای آنها از(عذاب) خدا هیچ پناه دهنده ای نبود.
022_00	این بدان سبب بود که پیامبرانشان با دلایل روشن به سوی آنها می آمدند پس آنها کفر می ورزیدند، بنابراین خداوند آنها را (فرو) گرفت، بی گمان او نیرومند سخت کیفر است.
023_00	به راستی ما موسی را با آیات خود و حجتی آشکار فرستادیم.
024_00	به سوی فرعون و هامان و قارون، پس (آنها) گفتند: «(او) جادوگری دروغگوست».
025_00	پس چون حق را از جانب ما برای آنها آورد، گفتند:« پسران کسانی را که با او ایمان آورده اند، بکشید و زنانشان را (برای خدمتکاری) زنده بگذارید».
025_01	و نیرنگ کافران جز در گمراهی نیست.
026_00	و فرعون گفت:« بگذارید موسی را بکشم، و او پروردگارش را (برای نجات) بخواند، بی گمان من می ترسم که دین شما را دگرگون کند یا در (این سر) زمین فساد انگیزد».
027_00	و موسی گفت:« من از (شر) هر متکبری که به روز حساب ایمان نمی آورد ،به پروردگارم و پروردگار شما پناه می برم»( ).
028_00	و مرد مؤمنی از آل فرعون( ) که ایمانش را پنهان می داشت، گفت: آیا مردی را می کشید (برای آن) که می گوید: پروردگار من الله است، و همانا دلایل روشنی از سوی پروردگارتان برای شما آورده است؟!( )
028_01	و اگر او درغگو باشد، (گناه) دروغش بر گردن اوست، و اگر راست گو باشد پاره ای از آنچه به شما وعده می دهد به شما خواهد رسید، بی گمان خداوند کسی را که اسرافکار دروغگو است، هدایت نمی کند.
029_00	« ای قوم من!
029_01	امروز فرمانروایی از آن شماست، در این سرزمین پیروزید پس چه کسی ما را از عذاب خدا یاری می دهد، اگر (عذاب) بیاید». فرعون گفت: «من شما را جز به راهی که (مصلحت) می بینم، (سفارش نمی کنم) و شما را جز به راه صحیح (و رشد) هدایت نمی کنم ».
030_00	و کسی که ایمان آورده بود، گفت: «ای قوم من! به راستی من بر شما (از روزی) همانند روز گروههای (پیشین) می ترسم ».
031_00	مانند (حال و) شیوه قوم نوح و عاد و ثمود ، و کسانی که بعد از آنها بودند، و خداوند برای بندگانش خواستار ستم نیست.
032_00	وای قوم من! بی گمان من بر شما از روزی که (مردم) یکدیگر را صدا می زنند، (روز قیامت) می ترسم،
033_00	(همان) روزی که پشت کنان روی می گردانید، و برای شما هیچ نگه دارنده ای از (عذاب) خدا نیست، و هر کس را که خداوند گمراه کند،پس هدایت کننده ای برای او نیست.
034_00	و به راستی پیش از این یوسف با دلایل روشن به (نزد) شما آمده بود، پس شما از آنچه او برای شما آورده بود پیوسته در شک بودید، تا زمانی که او مرد گفتید:«هرگز خداوند بعد از او پیامبری را مبعوث نخواهد کرد».
034_01	این گونه خداوند کسی را که اسرافکار شکاک است گمراه می سازد.
035_00	(همان) کسانی که بی آنکه حجتی برایشان آمده باشد، در آیات خدا مجادله می کنند (این عمل) نزد خدا و نزد کسانی که ایمان آورده اند سخت ناپسند (و موجب خشم) است.
035_01	این گونه خداوند بر دل هر متکبر سر کشی مهر می نهد».
036_00	و فرعون گفت:« ای هامان! برای من کوشک بلندی بساز، باشد که به آن درها (وراهها) دست یابم.
037_00	(راهها و) درهای آسمانها، تا به معبود موسی بنگرم (و از او آگاه شوم)، و هر چند من او را دروغگو می پندارم».
037_01	و این گونه برای فرعون زشتی کردارش (در نظرش) آراسته شد، و از راه (حق) باز داشته شد، وحیله (و نیرنگ) فرعون جز در تباهی نبود.
038_00	و کسی که ایمان آورده بود، گفت: «ای قوم من! از من پیروی کنید، تا شما را به راه درست (وصواب) هدایت کنم».
039_00	ای قوم من! این زندگی دنیا تنها متاع (زود گذر) است و همانا آخرت سرای همیشگی است،
040_00	هر کس کار بدی مرتکب شود، پس جز به همانند آن کیفر نیابد، و هر کس از مرد یا زن در حالی که
040_01	مؤمن است، کار شایسته ای انجام دهد، پس آنها وارد بهشت می شوند، و در آن روزی بی شمار به آنها داده خواهد شد.
041_00	وای قوم! چیست مرا که من شما را به سوی نجات می خوانم، و (شما) مرا به سوی آتش می خوانید؟!
042_00	مرا دعوت می کنید که به الله کافر شوم و چیزی را که به آن علم ندارم شریک او قرار دهم، و من شما را به سوی (خداوند) پیروزمند آمرزگار دعوت می کنم.
043_00	قطعاً آنچه مرا به سوی آن دعوت می دهید نه (حق) دعوت در دنیا دارد و نه در آخرت، و همانا بازگشت ما به سوی خداست و بی گمان اسرافکارانند که اهل آتشند.
044_00	پس به زودی آنچه را به شما می گویم به یاد خواهید آورد، من کار خودم را به خدا واگذار می کنم، بی گمان خداوند (نسبت) به بندگان بیناست».
045_00	پس خداوند او را از آسیب آنچه که (برایش) مکر کرده بودند، حفظ کرد، و بدترین عذاب آل فرعون را در میان گرفت.
046_00	(آن عذاب) آتش (دوزخ است) که هر صبح و شام بر آن عرضه می شوند( ). و روزی که قیامت بر پا می شود (گفته می شود:) «آل فرعون را در سخترین عذاب وارد کنید».
047_00	و چون در آتش (جهنم) با همدیگر مجادله (و کشمکش) می کنند، پس ناتوانان به کسانی كه تکبر ورزیدند، می گویند: « بی شک ما (در دنیا) پیرو شما بودیم، پس آیا شما (امروز) می توانید بخشی از آتش را که نصیب ما شده از ما دور کنید؟!»
048_00	کسانی که تکبر ورزیدند، گویند: «بی گمان ما همگی در آن (آتش) هستیم، همانا خداوند در میان بندگان داوری کرده است».
049_00	و کسانی که در آتشند به نگهبانان جهنم می گویند:« از پروردگارتان بخواهید تا یک روز عذاب را از ما بکاهد».
050_00	(آنها) می گویند: «آیا پیامبران شما با دلایل روشن نزد شما نیامدند؟!» گویند:«آری» (نگهبانان) گویند: «پس (خودتان) دعا کنید، و دعای کافران جز در تباهی نیست».
051_00	یقیناً ما پیامبران خود و کسانی را که ایمان آورده اند، در زندگی دنیا و روزی که گواهان (برای گواهی) بر خیزند، یاری می کنیم.
052_00	روزی که عذر خواهی ستمکاران سودی ندهد، و لعنت (خدا) برای آنان است، و (نیز) سرای بد (= جهنم) برای آنهاست.
053_00	و به راستی ما به موسی هدایت عطا کردیم، و بنی اسرائیل را وارثان کتاب (تورات) قرار دادیم.
054_00	(کتابی که) برای خردمندان هدایت و پند است.
055_00	پس (ای پیامبر) صبر کن، بی گمان وعده خداوند حق است، و برای گناهت آمرزش بخواه و هر صبح و شام به ستایش پروردگارت تسبیح گوی.
056_00	همانا کسانی که در آیات خدا بدون هیچ حجت (و دلیلی) که برای آنها آمده باشد، مجادله می کنند، در سینه
056_01	هایشان جز تکبر نیست، که خود به آن نخواهند رسید، پس به خدا پناه ببر، بی گمان اوست که شنوای بیناست.
057_00	مسلماً آفرینش آسمانها و زمین بزرگتر از آفرینش مردم است، ولیکن بیشتر مردم نمی دانند.
058_00	و هرگز نابینا و بینا یکسان نیستند و (همچنین) کسانی که ایمان آورده، و کارهای شایسته انجام داده اند با (افراد) بد کار (یکسان نباشند) چه اندک پند می پذیرید.
059_00	یقیناً قیامت آمدنی است، شکی در آن نیست ولیکن بیشتر مردم ایمان نمی آورند.
060_00	و پروردگار شما فرمود: «مرا بخوانید، تا (دعای) شما را اجابت کنم همانا کسانی که از عبادت من سر کشی می کنند، به زودی با خواری به جهنم وارد می شوند»( ).
061_00	خداوند کسی است که شب را برای شما قرار داد تا در آن آرام گیرید، و روز را روشن (قرار داد)، بی گمان خداوند بر مردم فضل (و کرم) دارد، ولیکن بیشتر مردم سپاس نمی گزارند.
062_00	این است خداوند، پروردگار شما، (که) آفریننده همه چیز (است) هیچ معبودی (به حق) جز او نیست، پس چگونه (از حق) منحرف می شوید؟!
063_00	این گونه کسانی که آیات خدا را انکار می کردند، (از حق) منحرف می شوند.
064_00	خداوند کسی است که زمین را برای شما قرار گاه، و آسمان را (همچون) سقفی قرار داد، و شما را صورت بخشید، پس صورتتان را
064_01	نیکو گرداند، و از چیزهای پاکیزه به شما روزی داد این است خداوند پروردگار شما ،پس پر برکت و بزرگوار است خداوندی که پروردگار جهانیان است.
065_00	او زنده است، هیچ معبودی (به حق) جز او نیست، پس در حالی که دین خود را خالص گردانیده او را بخوانید، حمد و ستایش مخصوص خداوند پروردگار جهانیان است.
066_00	(ای پیامبر) بگو: «همانا من نهی شده ام از اینکه کسانی را پرستش کنم که شما بجای خدا می خوانید، چون نشانه های روشن از جانب پروردگارم برای من آمده است، و مأمور شده ام كه برای پروردگار جهانیان تسلیم باشم».
067_00	او کسی است که شما را از خاک آفرید، سپس از نطفه، سپس از خون بسته، سپس شما را (به صورت) کودکی (از شکم مادر) بیرون می آورد،سپس (بزرگ می شود) تا به کمال نیرو و قوت خود می رسید،
067_01	سپس (زندگی می کنید) تا بعد از آن پیر می شوید، و از (میان) شما کسی است که پیش از این (مرحله) می میرد و (به بعضی از شما مهلت می دهد) تا به اجل معین برسید، و شاید بیندیشید.
068_00	او کسی است که زنده می کند و می میراند، پس هنگامی که چیزی را بخواهد، تنها به او می گوید: «موجود شو» پس (بی درنگ) موجود می شود.
069_00	آیا ندیدی کسانی را که در آیات خدا مجادله می کنند، چگونه (از راه حق) منحرف می شوند؟!
070_00	کسانی که کتاب (آسمانی) و آنچه پیامبرانمان را بدان فرستاده ایم، تکذیب کردند، پس به زودی خواهند دانست.
071_00	آنگاه که غلها و زنجیرها در گردنشان خواهد بود، و کشیده می شوند.
072_00	در آب جوش، سپس در آتش (جهنم) افروخته می شوند.
073_00	آنگاه به آنها گفته می شود: کجایند آنچه را شریک قرار می دادید.
074_00	بجای خدا؟!»گویند:«از (نظر) ما ناپدید شدند، بلکه ما هرگز پیش از این چیزی را نمی خواندیم». این گونه خداوند کافران را گمراه می کند.
075_00	این بدان (سبب) است که به ناحق در زمین شادمان می شدید، و به آنکه می نازیدید.
076_00	از درهای جهنم وارد شوید، جاودانه در آن بمانید، پس جایگاه متکبران چه بد است.
077_00	پس (ای پیامبر) صبر کن، بی گمان وعده خدا حق است، پس اگر قسمتی از چیزهایی را که به آنها وعده داده ایم به تو نشان دهیم، یا تو را بمیرانیم، پس (در هر صورت) به سوی ما باز گردانده می شوند (و آنجا کیفر می شوند).
078_00	و به راستی پیش از تو پیامبرانی فرستادیم، (داستان) بعضی از آنها را برای تو باز گو کردیم و (داستان) بعضی را برای تو باز گو نکرده ایم، و هیچ
078_01	پیامبر را نرسد که معجزه ای جز به فرمان خدا بیاورد، پس چون فرمان خدا در رسد، به حق داوری شود، و آنجا بیهوده گویان (اهل باطل) زیان خواهند کرد.
079_00	خداوند کسی است که چهار پایان را برای شما آفرید، تا بر بعضی از آنها سوار شوید،و از بعضی بخورید.
080_00	و برای شما در آنها منافعی است، و تا (با سوار شدن) بر آنها به مقصدی که در دل دارید برسید، و بر آنها و (نیز) بر کشتی (ها) سوار می شوید.
081_00	و (خداوند) آیاتش را به شما نشان می دهد، پس کدام یک از آیات خدا را انکار می کنید.
082_00	آیا در (روی) زمین سیر نکردند، پس ببینند سر انجام کسانی که پیش از آنها بودند، چگونه بود؟ آنها (از لحاظ) تعداد افراد از اینها بیشتر بودند، و در
082_01	توانایی (و پدید آوردن) آثار در زمین از اینها برتر (و سختر) بودند، پس آنچه بدست می آوردند نتوانست آنها را بی نیاز کند (و عذابشان را دور نماید).
083_00	پس چون پیامبرانشان با دلایل روشن به سوی آنها آمدند، به دانشی که نزد خود داشتند خوشحال شدند، و آنچه را که مسخره اش می گرفتند آنها را فرا گرفت.
084_00	پس چون عذاب ما را دیدند گفتند: «تنها به الله ایمان آوردیم ، و به معبودهایی که شریک او قرار داده بودیم، کافر شدیم».
085_00	پس هنگامی که عذاب ما را دیدند، ایمانشان برای آنها سودی نبخشید، (چنین) سنت خدا است که در میان بندگانش گذشته است، و آنجا کافران زیانکار شدند( ).
