001_00	سوگند به صبح.
002_00	وبه شبهای دهگانه (ذیحجه).
003_00	وبه زوج وفرد.
004_00	و سوگند به شب هنگامی که (حرکت می کند و) می رود.
005_00	آیا در این (چیزها) سوگندی برای صاحب خرد نیست؟!
006_00	(ای پیامبر) آیا ندیدی که که پروردگارت با (قوم) عاد چه کرد؟
007_00	(همان عاد) ارم که دارای شونها (وقامت بلند) بودند.
008_00	که همانند آن در شهرها آفریده نشده بود.
009_00	و (نیز قوم) ثمود, آنهایی که صخره های سخت را از (کنار) وادی می تراشیدند (وبرای خود خانه می ساختند)؟
010_00	و فرعون صاحب میخها (شکنجه ها و سپاه).
011_00	(همان) کسانی که در شهرها طغیان (وسرکشی) کردند.
012_00	پس در آنها بسیار فساد به بار آوردند.
013_00	آنگاه پروردگارت تازیانه عذاب را بر آنان فرو آورد.
014_00	یقیناً پروردگارتو در کمین گاه است.
015_00	پس اما انسان هنگانمی که پروردگارش اورا بیازماید و اورا گرامی دارد و به او نعمت بخشد, (مغرور می شود و) می گوید: «پروردگارم مرا گرامی داشته است».
016_00	و اما هنگامی که اورا بیازماید, پس روزیش را بر او تنگ گیرد (نا اسید می شود و) می گوید: «پروردگارم مرا خوار کرده است».
017_00	هرگز چنین نیست (که شما می پندارید), بلگه یتیم را گرامی نمی دارید.
018_00	و یکدیگر را بر اطعام مستمندان ترغیب وتشویق نمی کنید.
019_00	و میراث را حریصانه می خورید (وحق دیگران را نمی دهید).
020_00	ومال وثروت (دنیا) را بسیار دوست دارید.
021_00	هرگز چنین نیست (که شما گمان می کنید) هنگامی که زمین سخت درهم گوبیده شود (وهموار گردد).
022_00	و پروردگارت (برای دادری) بیاید و (نیز) فرشتگان صف رد صف (بیانید).
023_00	ودر آن روز جهنم را بیاورند, در آن روز انسان متذکر می شود, و(اما) این تذکر چه فایده ای برای او دارد؟!
024_00	می گوید: «ای کاش (در دنیا) برای (این) زندگیم (چیزی از) پیش فرستاده بودم.
025_00	پس در آن روز هیچ کسی همانند عذاب او (= خداوند) عذاب نمی کند.
026_00	و هیچ کس همچون نبدگشیدن او (= خداوند) کسی را بند نکشد.
027_00	«ای روح آرام یافته.
028_00	به سوی پروردگارت باز گرد, در حالی که تو از او خوشنوی و او از تو خشنود است.
029_00	پس در زمرۀ نبدگان (خاص) من در آی.
030_00	وبه بهشت من وارد شو»
