001_00	پر برکت وبزرگوار است کسی که فرقان (= قرآن) را بربنده اش نازل کرد؛ تا بیم دهنده ی جهانیان باشد.
002_00	(همان) کسی که فرمانروایی آسمانها وزمین از آن اوست، و فرزندی (برای خود) بر نگزیده است، و در فرمانروایی هیچ شریکی ندارد، و همه چیز را آفرید، پس اندازه هر چیز چنان که می باید؛ معین کرده است.
003_00	و (مشرکان) به جای او معبودانی (برای خود) بر گزیدند که چیزی نمی آفرینند، و خودشان مخلوقند، و مالک زیان و سود خود نیستند، و (نیز) مالک مرگ حیات و برانگیختن نیستند.
004_00	و کسانی که کافر شدند؛ گفتند : « این (قرآن) جز دروغی نیست که (خود) بافته است، و گروهی دیگر او را بر این (کار) یاری داده اند » به راستی آنها (با این سخن شان) ستم و دروغ بزرگی مرتکب شده اند.
005_00	و گفتند:«(این همان) افسانه های پیشینیان است که آن را رونویسی کرده و هر صبح و شام بر او املا می شود»
006_00	(ای پیامبر!) بگو :« کسی آن را نازل کرده که راز (نهان) آسمانها و زمین را می داند، بی گمان اوآمرزنده ی مهربان است.
007_00	و گفتند :«این پیامبر را چه شده است که غذا می خورد و در بازارها راه می رود ؟! چرا فرشته ای بر او نازل نشده است؛ پس همراه او بیم دهنده باشد ؟!
008_00	یا گنجی (از آسمان) بر او افکنده شود، و یا باغی داشته باشد که از (میوه های) آن بخورد ؟! » و ستمگران گفتند :« شما فقط از مردی سحر شده پیروی می کنید».
009_00	بنگر چگونه برای تو مثلها زدند، پس گمراه شدند (آن گونه) که نمی توانند راهی را بیابند.
010_00	پر برکت و بزرگوار است کسی که اگر بخواهد برای تو بهتر از این قرار می دهد: باغهایی که نهرها از زیر (درختان) آن جاری است، و (نیز) برایت کاخهایی (مجلل) قرار می دهد.
011_00	(اینها همه بهانه است) بلکه (حقیقت این است که) آنها قیامت را تکذیب کرده اند، و (ما) برای کسی که قیامت را تکذیب کند، آتش سوزان (جهنم) فراهم کرده ایم.
012_00	هنگامی که (جهنم) آنها را از مکانی دور ببیند؛ از آن خشم و خروشی (و حشتناک) می شنوند.
013_00	و هنگامی که دست و پا بسته (باغل و زنجیر) در مکان تنگی از آن انداخته شوند، در آنجا مرگ (و نابودی خود) را به فریاد می خوانند.
014_00	(به آنها گفته شود:) امروز یک بار مرگ (و نابودی) را نخوانید، و (بلکه) بسیار (و بارها) فریادش کنید.
015_00	(ای پیامبر!) بگو:«آیا این بهتر است؛ یا بهشت جاویدانی که به پرهیزگاران وعده داده شده است ؟! (بهشتی) که پاداش آنها، و باز گشتگاه شان است».
016_00	هر چه بخواهند در آنجا برای شان (مهیا) است ؛ جاودانه در آن خواهند ماند، این وعده ای است بر (عهده ی) پروردگارت که (تحقق) آن را ازاو خواسته اند.
