001_00	طسم (طا. سین. میم)
002_00	این آیات کتاب روشن است.
003_00	گویی می خواهی از (شدت غم واندوه) این که آنها ایمان نمی آورند؛ خود را هلاک کنی !
004_00	اگر بخواهیم از آسمان بر آنها نشانه ای نازل می کنیم که گردنهایشان در برابر آن تسلیم (و خاضع) گردد.
005_00	و هیچ پند تازه ای از سوی (خداوند) رحمان برای آنها نمی آید؛ مگر این که از آن روی گردان هستند.
006_00	به راستی آنها تکذیب کردند، پس به زودی اخبار آنچه را که به آن استهزاء (و تمسخر) می کردند؛ به آنها خواهد رسید.
007_00	آیا به زمین ننگریسته اند که چه قدر از هر گونه گیاهان (نیکو و) پر ارزش در آن رویانده ایم ؟!
008_00	بی گمان در این نشانه ی (بزرگی) است، و بیشتر آنها مؤمن نیستند.
009_00	و به راستی پروردگارتو پیروزمند مهربان است.
010_00	و (به یاد بیاور) هنگامی را که پروردگارت موسی را ندا داد که به سوی قوم ستمکار برو،
011_00	قوم فرعون، آیا آنها نمی ترسند ؟!
012_00	(موسی) گفت :« پروردگارا ! من می ترسم که مرا تکذیب کنند !
013_00	و سینه ام تنگ گردد و زبانم باز نشود، پس (برادرم) هارون را (نیز) رسالت ده (تا مرا یاری کند) .
014_00	و آنها بر (گردن) من (ادعای) گناهی دارند، پس می ترسم که مرا بکشند».
015_00	(خداوند) فرمود:«چنین نیست، پس شما هر دو با آیات ما بروید، یقیناً ما با شما شنوندگان هستیم.
016_00	پس (به نزد) فرعون بروید، و بگویید:«ما فرستاده ی پروردگار جهانیان هستیم،
017_00	که بنی اسرائیل را با ما بفرست».
018_00	(فرعون) گفت : «آیا ما تو را در کوکی نزد خود پرورش ندادیم، و سالهایی از عمرت را در میان ما نگذراندی؟!
019_00	و (بالآخره) آن کارت را (که نبایست انجام می دادی) انجام دادی، و تو از ناسپاسانی».
020_00	(موسی) گفت : «(من) آن (کار) را آنگاه انجام دادم که من از بی خبران بودم.
021_00	پس چون از شما ترسیدم از شما فرار کردم، آنگاه پروردگارم به من دانش (و نبوت) بخشید و مرا از پیامبران قرار داد.
022_00	و آیا این نعمتی است که تو بر من منت می گذاری که بنی اسرائیل را برده ی خود ساخته ای؟!»
023_00	فرعون گفت :«پروردگار جهانیان چیست؟!»
024_00	(موسی) گفت :« پروردگار آسمانها و زمین و آنچه میان آن دو است، اگر اهل یقین هستید».
025_00	(فرعون) به آنهای که در اطرافش بودند؛ گفت :«آیا نمی شنوید ؟»
026_00	(موسی) گفت :«( او) پروردگار شما و پروردگار نیاکان پیشین شماست.
027_00	(فرعون) گفت :« بی تردید پیامبرتان که به سوی شما فرستاده شده دیوانه است».
028_00	(موسی) گفت :«(او) پروردگار مشرق و مغرب و آنچه میان آن دو است، اگر بیندیشید».
029_00	(فرعون) گفت :«اگر معبودی جز من برگزینی، البته تو را از زندانیان قرار خواهم داد».
030_00	(موسی) گفت :« حتی اگر معجزه ای روشنی برای تو آورده باشم ؟!»
031_00	(فرعون) گفت :« پس اگر از راستگویانی، آن را بیاور».
032_00	پس (موسی) عصای خود را افکند، که ناگهان آن اژدهایی آشکار شد.
033_00	و دست خود را (در گریبان فرو برد و) بیرون آورد که ناگهان در برابر بینندگان سفید (و روشن) بود.
034_00	(فرعون) به اشرافی که اطراف او بودند؛ گفت :« بی گمان این (مرد) جادوگر دانایی است .
035_00	(او) می خواهد با سحرش شما را از سرزمینتان بیرون کند، پس شما چه نظر می دهید ؟!»
036_00	گفتند :«(کار) او و برادرش را به تأخیر انداز، و جمع آوری کنندگان را در (همه ی) شهرها بفرست».
037_00	تا هر جادوگر ماهر (و) دانایی را نزد تو آورند» .
038_00	پس (سرانجام) جادوگران برای وعده گاه روز معینی گرد آورده شدند.
039_00	و به مردم گفته شد :«آیا شما (نیز) جمع می شوید،
040_00	تا اگر ساحران پیروز شدند، ما از آنها پیروی کنیم؟!»
041_00	پس هنگامی که ساحران آمدند، به فرعون گفتند : «اگر ما پیروز شویم، آیا ما پاداشی خواهیم داشت ؟!»
042_00	گفت :«آری، و بی گمان آنگاه شما از مقربان خواهید بود».
043_00	موسی به آنها گفت :«هر چه می خواهید بیفکنید، بیفکنید»
044_00	پس آنها ریسمانها و عصاهای خود را افکندند، و گفتند:« به عزت فرعون، قطعاً ما پیروزیم».
045_00	پس موسی عصایش را افکند، ناگهان آنچه را به دروغ بر ساخته بودند، بلعید.
046_00	پس ساحران سجده کنان (به زمین) افتادند.
047_00	گفتند :« ما به پروردگار جهانیان ایمان آوردیم،
048_00	پروردگار موسی و هارون».
049_00	(فرعون) گفت:«آیا پیش از آن که به شما اجازه دهم به او ایمان آوردید ؟!
049_01	مسلماً او بزرگتر شماست که سحر را به شما یاد داده است، پس به زودی خواهید دانست ! دستانتان و پاهایتان را به عکس یکدیگر قطع می کنم، و همه ی شما را به دار می آویزم».
050_00	گفتند :« با کی نیست، ما به سوی پروردگار مان باز می گردیم.
051_00	ما امیدواریم که پروردگارمان خطاهای ما را ببخشد، که ما از نخستین ایمان آورندگان بودیم».
052_00	و به موسی وحی کردیم که : « شبانه بندگانم را (از مصر) بیرون ببر، بی گمان شما تعقیب می شوید» .
053_00	پس فرعون (چون از ماجرا آگاه گردید) گرد آورندگان (نیرو) را به شهرها فرستاد.
054_00	(و گفت:) اینها (= بنی اسرائیل) گروهی اندک (و ناچیز) هستند،
055_00	و اینها ما را به خشم آورده اند،
056_00	و ما همگی آماده (و بیدار) هستیم».
057_00	پس آنها را از باغها و چشمه ها بیرون کردیم.
058_00	و (نیز) از گنجها و منزلگاه نیکو (و قصرهای مجلل بیرون راندیم) .
059_00	(آری) این چنین (کردیم) و بنی اسرائیل را وارث آنها ساختیم.
060_00	پس آنها (صبحگاهان به) هنگام طلوع آفتاب به تعقیبشان پرداختند.
061_00	پس چون دو گروه یکدیگر را دیدند، یاران موسی گفتند: « یقیناً ما (در چنگال فرعونیان) گرفتار شدیم».
062_00	(موسی) گفت :« چنین نیست، بی گمان پروردگارم با من است، به زودی مرا هدایت خواهد کرد»
063_00	پس به موسی وحی کردیم :«عصایت به دریا بزن» آنگاه (دریا) شکافته شد، پس هر بخشی (از آن) همچون کوه عظیمی شد.
064_00	و دیگران (= فرعون و فرعونیان) را (نیز) به آنجا نزدیک ساختیم.
065_00	و موسی و همراهانش را همگی نجات دادیم.
066_00	سپس دیگران را غرق کردیم.
067_00	بی گمان در این (ماجرا) نشانه ای (روشن) است.
068_00	و بی تردید پرورگارتو پیروزمند مهربان است.
069_00	و خبر ابراهیم را بر آنها بخوان.
070_00	هنگامی که به پدرو قومش گفت :«چه چیز را می پرستید ؟!» .
071_00	گفتند :« بتهایی را می پرستیم، و پیوسته برای (عبادت) آنها معتکف هستیم.
