001_00	الر (الف.لام. را) این آیات کتاب روشنگر است.
002_00	همانا ما آن را قرآن عربی نازل کردیم ؛ شاید شما در یابید .
003_00	(ای پیامبر!) ما بهترین داستانها را با وحی کردن این قرآن بر تو بازگو می کنیم، و مسلماً توپیش از آن ازبی خبران بودی (و آگاهی نداشتی).
004_00	(به یاد آور) هنگامی را که یوسف به پدرش یعقوب گفت : «پدرم ! همانا من (در خواب) یازده ستاره وخورشید و ماه را دیدم ، آنها را برای خود سجده کنان دیدم ».
005_00	(یعقوب) گفت : « ای پسرکم !خواب خود برای برادرانت باز گو نکن ، که برای تو نقشه ی بدی می اندیشند، بی گمان شیطان برای انسان دشمن آشکار است .
006_00	و این گونه پروردگات تو را بر می گزیند، و از تأ ویل احادیث (= تعبیر خوابها) می آموزد ، و نعمتش را بر تو و
006_01	بر آل یعقوب تمام می کند ، همان گون که پیش از این بر اجدادت ابراهیم و اسحاق تمام کرد ، یقیناً پروردگارت دانای حکیم است ».
007_00	بی شک در (داستان) یو سف و برادرانش برای سؤال کنندگان نشانه ها و (عبرت ها) است .
008_00	هنگامی که با خود گفتند: «یو سف وبرادر ش(بنیامین) نزد پدر مان از ما محبوب ترند ، در حالی که ما گروهی (نیرومند) هستیم، بی تردید پدرمان در اشتباهی آشکار است .
009_00	یوسف را بکشید ، یا او را به سرزمینی (دور دست) بیفکنید ، تا توجه پدرتان فقط به(سوی) شما باشد، و بعد از آن(توبه کنید و) افرادی صالح باشید» .
010_00	یکی از آنها گفت :« یوسف را نکشید، و اگر می خواهید( کاری) انجام دهید، او را به قعر چاه بیندازید ، تا بعضی از کاروانها (ی رهگذر) او را بر گیرد (و به جای دوری ببرد ) ».
011_00	(و آنگاه نزد پدر آمدند، و) گفتند: «پدرجان ! تو را چه شده است که ما را بر (برادرمان) یوسف امین نمی شماری ، در حالی که ما خیر خواه اوهستیم ؟!
012_00	فردا او را با ما (به صحرا) بفرست ، تا(از میوه ها) بهره برد و بازی کند ، همانا ما نگهبان اوهستیم » .
013_00	(یعقوب) گفت:«آنکه او را ببرید مرا اندوهگین می کند، و از این می ترسم که گرگ اورا بخورد، در حالی که شما از او غافل باشید! ».
014_00	گفتند: «با این که ما گروهی ( نیرومند) هستیم ، اگر گرگ او را بخورد ، براستی آنگاه ما زیانکار خواهیم بود ».
015_00	پس چون او را با خود بردند ، و تصمیم گرفتند که او را در قعر چاه قرار دهند ، و (تصمیم خود را عملی نمودند) به او وحی کردیم که قطعاً آنها را از این کارشان آگاه خواهی کرد ، در حالی که آنها نمی دانند.
016_00	و (برادران) شبانگاه گریان به نزد پدرشان آمدند .
017_00	گفتند : «ای پدرما ! همانا ما رفتیم که مسابقه دهیم ، و یوسف را نزد اثاث خود گذاشتیم ، پس گرگ او را خورد ، و تو (هرگز سخن ) ما را باورنخواهی کرد، هر چند راستگو باشیم ».
018_00	و پیراهن او را با خونی دروغین (برای یعقوب) آوردند ، (او) گفت :« (چنین نیست) بلکه (هوای) نفس شما کاری (ناشایست) را برای شما آراسته است ، پس (کار من) صبر جمیل است ، و بر آنچه می گویید ، خداوند مدد کار(من) است ».
019_00	و کاروانی فرا رسید ، و پس آنها آب آورشان را فرستادند ، و (او) دلو خود را در (چاه) انداخت (پس چون بیرون آورد، یوسف را در آن دید، صدا زد و) گفت: «مژده باد! این کودکی است» و او را بعنوان یک کالا (از دیگران ) پنهان داشتند ، و خداوند به آنچه می کردند ، آگاه است.
020_00	و (سر انجام) او را به بهای اندک – چند درهم –فروختند ، و در(باره ی) او بی رغبت بودند.
021_00	و کسی از(اهل) مصر که او را خرید؛ به همسرش گفت: « جای او را گرامی دار، امید است برای ما سودمند باشد ، یا او را به فرزندی گیریم»
021_01	و این چنین یوسف را در (آن سر) زمین متمکن ساختیم ، و تا از تأویل احادیث (= تعبیر خواب )به او بیاموزیم، و خداوند بر کارش چیره است ، ولیکن بیشتر مردم نمی دانند .
022_00	وچون (یوسف به مرحله ی بلوغ و) کمال قوت رسید ،به او حکم(= نبوت) و علم عطا کردیم. ، و این چنین نیکوکاران را پاداش می دهیم .
023_00	و آن زنی که او( یوسف) در خانه اش بود ، ازاو در خواست کامجویی کرد ، و درها را بست وگفت: « بیا ، (در اختیار تو هستم) ». (یوسف) گفت: «به خدا پناه می برم!
023_01	بی گمان او (عزیز مصر) سرور من است ، جایگاه مرا گرامی داشته است (پس چگونه به او خیانت کنم ؟!) مسلماً ستمکاران رستگار نمی شوند » .
024_00	و به راستی آن زن قصد او(= یوسف) کرد ، و او نیز اگر برهان پروردگارش ندیده بود؛ قصد وی می کرد ، این چنین (کردیم) تا بدی و فحشا از او دور سازیم ، بی گمان او از بندگان مخلص ماست.
025_00	و هر دو به طرف درشتافتند، و(همسر عزیز) پیراهن او را از پشت پاره کرد ، و(در این هنگام) شوهرش را نزد در یافتند .
025_01	(آن) زن گفت : «کیفر کسی که خواسته باشد به خانواده ی تو بدی (و خیانت) کند چیست؟، جز اینکه زندان شود ، یا عذاب درد ناکی (ببیند).
026_00	(یوسف ) گفت : «او با اصرارمرا به سوی خود خوانده است ! » و(درآن هنگام) شاهدی از بستگان آن زن شهادت داد، اگر پیراهن او ازجلو پاره شده ، پس آن زن راست می گوید ، و او از دروغگویان است .
027_00	و اگر پیراهن اش از پشت پاره شده ، (آن) زن دروغ می گوید ، و او از راستگویان است ».
028_00	پس چون (عزیز مصر) دید که پیراهن او از پشت پاره شده است ، گفت:« این از مکر شما (زنان) است ، بی گمان مکر شما زنان بزرگ است .
029_00	ای یوسف! از این (ماجرا) صرف نظر کن ، و (تو ای زن) برای گناه خود آمرزش بخواه ، همانا تو از خطا کاران بوده ای ».
030_00	و (این خبر به شهر رسید) زنانی در شهر گفتند :«همسر عزیز، برای کامجویی غلام (= جوان) خود را به سوی خود می خواند ، به راستی محبت (و عشق این جوان) در قلبش نفوذ کرده است ، مسلماً ما او را در گمراهی آشکار می بینیم .
031_00	پس چون (همسر عزیز) سخنان مکر آمیزشان را شنید ، (کسی را) به دنبال آنها فرستاد (و آنها را دعوت نمود) و برای آنها مجلس (با شکوه و با پشتی های زیبا ) فراهم کرد ، وبه(دست) هر کدام چاقویی (برای بریدن میوه ) داد ، و به یوسف گفت: «بر آنان بیرون شو» .
031_01	پس زنان چون او را دیدند ، بزرگش یافتند ، و دستهای خود را بریدند ، و « گفتند: پناه بر خدا ! این بشر نیست ، این جز فرشته ای بزگوار نیست ».
032_00	(همسر عزیز) گفت: «این هست همان کسی که مرا در (باره ی) او سرزنش کردید ، (آری) به راستی من او را برای کامجویی به خود دعوت کردم ،
032_01	پس او خود داری کرد ، و اگر آنچه را که به او دستور می دهم ، انجام ندهد؛ قطعاً زندانی می شود و مسلماً خوار وزبون خواهد بود ».
033_00	(یوسف) گفت : «پروردگارا ! زندان نزد من از آنچه (اینها) مرا به سوی آن می خوانند ، محبوبتر است، و اگر مکر آنها را از من نگردانی ، به سوی آنان متمایل می شوم، و از نادانان خواهم بود» .
034_00	پس پروردگارش (دعای) او را اجابت کرد ، و مکر آنان را از او باز گردانید، بی گمان او شنوای داناست .
035_00	سپس بعد از آنکه نشانه ها (ی پاکی یوسف) را دیدند؛ تصمیم گرفتند تا مدتی او را زندانی کنند .
036_00	و دو جوان همراه او وارد زندان شدند، یکی از آن دو گفت: «من خواب دیده ام که(انگور برای) شراب می فشارم »
036_01	و دیگری گفت:«من خواب دیده ام که نان بر سر حمل می کنم ، پرندگان از آن می خورند ، ما را از تعبیر آن آگاه کن ، بی گمان ما تو را از نیکو کاران می بینیم ».
037_00	(یوسف) گفت:« پیش از آنکه (جیره ) طعام شما را بیاورند و تناول کنید ، شما را از تعبیر خوابتان آگاه می سازم ، این (تعبیر خواب) چیزهای
037_01	است که پروردگارم به من آموخته است، همانا من کیش قومی را که به خدا ایمان نمی آورند ، و آنان به (سرای) آخرت (نیز) کافرند، ترک کرده ام.
038_00	و از کیش نیاکانم ابراهیم و اسحاق و یعقوب پیروی کرده ام ، برای ما سزاوار نیست که چیزی را شریک
038_01	خدا قرار دهیم ، این از فضل خدا بر ما و بر(همه) مردم است، ولیکن بیشتر مردم شکر نمی گذارند .
039_00	ای رفقای زندای من ! آیا خدایان پراکنده (متعدد) بهترند یا خداوند یکتای قهار؟
040_00	شما به جای خدا (چیزی را) نمی پرستید ، مگر نامهایی را که خود ونیاکان تان به آنها داده اید ، خداوند هیچ دلیلی بر (اثبات) آنها نازل نکرده است
040_01	، فرمانروایی تنها از آن خداوند است ، فرمان داده است که جز او را نپرستید ، این است دین راست و استوار ، ولیکن بیشتر مردم نمی دانند .
041_00	ای رفقای زندانی من!
041_01	اما یکی ازشما (آزاد می شود) پس سرور خویش را شراب خواهد نوشانید ، واما دیگری پس به دار آویخته می شود ، آنگاه پرندگان از (گوشت) سر او خواهند خورد ، امری که در (باره ی) آن از من نظر خواستید ،(چنین) مقدر شده است ».
042_00	و (یوسف) به آن کسی از دو نفر که دانست رهایی می یابد ، گفت: «مرا نزد سرورت (= حاکم) یاد کن». ولی شیطان یاد کردن (اورا نزد) سرورش از خاطر او برد، پس (یوسف) چند سال در زندان باقی ماند .
043_00	و پادشاه گفت :«همانا من (در خواب) هفت گاو چاق را دیدم که هفت گاو لاغر آنها را می خورند ، و هفت خوشه ی سبز، و (هفت خوشه ی) دیگر را خشک (می بینم).
043_01	ای بزرگان ! در (باره ی) خوابم نظر دهید؛ اگر خواب را تعبیرمی کنید .
044_00	«(اینها) خوابهای (آشفته و) پریشان است ، و ما از تعبیر خوابهای پریشان آگاه نیستیم ».
045_00	و یکی از آن دو نفر که نجات یافته بود ، بعد از مدتی (یوسف) را به یاد آورد ، گفت: «من شما را از تأویل (= تعبیر) آن خبر می دهم ، پس مرا (به سوی جوان زندانی) بفرستید».
046_00	(چون نزد یوسف آمد، گفت: ) «یوسف ، ای (مرد) راستگو !
046_01	در( باره ی این خواب که:) هفت گاو چاق ، هفت گاو لاغر آنها را می خورند ، و هفت خوشه ی سبز و (هفت خوشه ی) دیگر خشک ، برای ما نظر بده (و تعبیر کن) تا من به سوی مردم باز گردم ، شاید آنان (از تعبیر این خواب ) با خبر شوند».
047_00	(یوسف) گفت: «هفت سال پی درپی(با جدیت) زراعت کنید ، پس آنچه را دور کردید ، جز اندکی که می خورید ، (بقیه) در خوشه اش باقی بگذارید.
048_00	سپس بعد از آن هفت (سال) سخت (قحطی) می آید ، که آنچه را برای آن سالها ذخیره کرده اید ، می خورید ، جز اندکی از آنچه که (برای بذر) ذخیره خواهید کرد.
049_00	سپس بعد از آن هفت (سال) سالی فرا می رسد که باران فراوانی نصیب مردم می شود ، و درآن (سال ، مردم افشردنیها را) می فشرند».
050_00	و پادشاه (چون این تعبیر را شنید) گفت : «او را نزد من بیاورید».
050_01	پس چون فرستاده ی (پادشاه) نزد او آمد ، (یوسف) گفت: «به سوی سرورت باز گرد ، پس از او بپرس ماجرای زنانی که دستهای خود را بریدند چه بود ؟! قطعاً پروردگارم به نیرنگ آنها آگاه است ».
051_00	(پادشاه آن زنان را خواست و) گفت: «جریان کارتان چه بود؛ هنگامی که یوسف را به سوی خود دعوت دادید ؟!». گفتند :« پناه بر خدا!
051_01	ما هیچ گناهی بر او ندانسته ایم » (در این هنگام) همسرعزیز گفت: «اکنون حق آشکار شد ، من (بودم که) او را به سوی خود خواندم ، (و خواهش مرا رد کرد ) و بی گمان او از راستگویان است.
052_00	این (سخن را) بدین خاطر است تا (عزیز) بداند که من در نهان به او خیانت نکرده ام ، و اینکه خداوند مکر خائنان را به هدف نمی رساند .
053_00	من هرگز نفس خود را تبرئه نمی کنم ، بی شک نفس (اماره ،انسان) پیوسته به بدی فرمان می دهد ، مگر آنچه پروردگام رحم کند، بی گمان پروردگارم آمرزنده ی مهربان است».
054_00	و پادشاه گفت :«او (= یوسف) را نزد من بیاورید ،(تا) او را مخصوص خود گردانم » پس چون(یوسف نزد او آمد و) با او صحبت کرد ، (پادشاه) گفت: «تو امروز نزد ما صاحب مقام والا (و) امین هستی ».
055_00	(یوسف) گفت: «مرا بر(سر پرستی) خزائن زمین (مصر) قرار بده ، که من نگهدارنده ای آگاهم ».
056_00	و این گونه به یوسف در آن سرزمین تمکن (و قدرت ) دادیم ، از آن (سرزمین) هر جا که می خواست منزل می گرفت ، ما رحمت خود را به هرکس که بخواهیم می رسانیم ، و پاداش نیکوکاران را ضایع نمی کنیم .
057_00	ویقیناً پاداش آخرت ، برای کسانی که ایمان آوردند وپرهیز گاری می کردند ، بهتر است .
058_00	و(چون سرزمین کنعان خشک سالی فرا گرفت) برادران یوسف (برای تهیه گندم به مصر) آمدند، پس بر او وارد شدند ، آنگاه او آنان را شناخت ، در حالی که آنها او را نشناختند.
059_00	پس چون بارهایشان را آماده کرد ،(به آنان ) گفت:«آن برادری که از پدرتان دارید،(نوبت آینده) نزد من بیاورید ، آیا نمی بینید که من پیمانه را تمام می دهم ، و من بهترین میزبان هستم ؟
060_00	پس اگر او را نزد من نیاوردید، نه پیمانه ای نزد من خواهید داشت ، و نه به من نزدیک شوید».
061_00	گفتند :«ما در (باره ی) او با پدرش با اصرار گفتگو خواهیم کرد ، و مسلماً این کا را می کنیم ».
062_00	و(یوسف) به غلامانش گفت: «سرمایه شان را در بارهایشان بگذارید ، شاید هنگامی که به سوی خانواده ی خود ، باز گشتند ، آن را بشناسند، شاید باز آیند » .
063_00	پس چون به سوی پدرشان بازگشتند : «ای پدرما ! پیمانه (غله) از ما باز داشته شده است، پس برادرمان (بنیامین ) با ما بفرست تا سهمی (از غله) بگیریم ، و بی گمان ما نگهبان اوخواهیم بود».
064_00	(یعقوب) گفت :«آیا شما را بر او امین دانم ، همانگونه که پیش از این نسبت به برادرش (یوسف) امین داشتم ، پس خداوند بهترین نگهبان است ، و او مهربانترین مهربانان است».
065_00	و چون بار خود را گشودند ، سرمایه شان یافتند که به آنها بازگردانده شده است .
065_01	گفتند:«ای پدرما ! (ما دیگر) چه می خواهیم ؟ این سرمایه ماست که به ما باز گردانده شده است ،(پس او را با ما بفرست) و برای خانواده ی خود آذوقه می آوریم ، و برادرمان را حفظ می کنیم ، و یک بار شتر افزون خواهیم آورد؛ این پیمانه (برای عزیز مصر ، کار) آسانی است .
066_00	(یعقوب) گفت :«هرگز او را با شما نمی فرستم؛ تا آنکه به نام خدا به من پیمان دهید که حتماً او را به نزد من باز خواهید آورد ، مگر
066_01	اینکه قدرت از شما گرفته شود (و خود گرفتار آیید ) پس چون (تعهد و) پیمان استوار به او دادند ، (یعقوب) گفت :«خداوند بر آنچه می گوییم نگهبان است ».
067_00	و(همچنین به آنها) گفت:«ای پسران من !
067_01	از یک در وارد نشوید ، بلکه از درهای متفرق داخل شوید ، و(من) نمی توانم چیزی از (قضای) خداوند (که مقرر کرده است) از شما دفع کنم، حکم تنها از آن خداست ، بر او توکل کرده ام ، و (همه ی) متوکلان بر او توکل کنند.
068_00	و چون به همان گونه که پدرشان به آنها دستور داده بود ، داخل شدند ،ـ (این کار) نمی توانست چیزی از (قضای) خداوند را از آنان دفع کند
068_01	ــ جز حاجت (و خواهشی)در دل یعقوب که آن برآورده شد ، و بی گمان او علمی داشت که ما به آموخته بودیم ، ولیکن بیشتر مردم نمی دانند .
069_00	و چون (برادران) بر یوسف وارد شدند ، برادرش (بنیامین) را نزد خود جای داد ، (و) گفت: «بدون شک من برادر تو(یوسف) هستم ، پس ازآنچه آنها انجام می دادند ، اندوهگین مباش ».
070_00	پس هنگامی که بارهای آنها مهیا کرد ، جام (آبخوری پادشاه) را در بار برادرش گذاشت، سپس ندا دهنده ی ندا داد :«ای کاروانیان ، بدون شک شما دزد هستید».
071_00	به طرف آنها رو کرده وگفتند : «چه چیز گم کرده اید ؟!»
