001_00	الم (الف. لام. میم).
002_00	رومیان مغلوب شدند.
003_00	در نزدیکترین سرزمین، و آنها بعد از مغلوب شدنشان به زودی غالب خواهند شد.
004_00	در (ظرف) چند سال؛ پیش از (این پیروزی) و بعد از این (پیروزی) فرمان از آن خداست، و در آن روز مؤمنان شادمان خواهند شد.
005_00	به (سبب) یاری خداوند، و (خداوند) هر که را بخواهد یاری می کند، و او پیروزمند مهربان است.
006_00	خداوند وعده داده است، خداوند هرگز وعده ی خویش را خلاف نمی کند، و لیکن بیشتر مردم نمی دانند.
007_00	آنها فقط ظاهری از زندگی دنیا را می دانند، وآنها از آخرت غافلند.
008_00	آیا در ضمیر خود نیندیشیده اند که (دریابند) خداوند آسمانها و زمین و آنچه را میان آن دو است؛ جز به حق و (تا) زمان معینی نیافریده است؟!
008_01	و بی تردید بسیاری از مردم به دیدار پروردگارشان (در روز قیامت) نا باورند.
009_00	آیا در زمین گردش نکردند، تا بنگرند عاقبت کسانی که پیش از آنها بودند؛ چگونه بود ؟! (آنها) نیرمند تر از اینان
009_01	بودند، و در زمین دگرگونی به وجود آوردند و آن را بیشتر از آنچه (اینان) آبادش کرده اند، آباد کردند، و پیامبرانشان
009_02	با دلایل روشن به سوی آنها آمدند، پس خداوند بر آن نبود که برآنها ستم کند، و لیکن (آنها) به خودشان ستم می کردند.
010_00	سپس سرانجام کسانی که بدی کردند، بدتر شد، که آیات خدا را تکذیب کردند، و آن را به مسخره می گرفتند.
011_00	خداوند آفرینش را آغاز می کند، سپس آن را باز می گرداند، آنگاه به سوی او باز گردانده می شوید.
012_00	و روزی که قیامت بر پا شود، مجرمان نومید شوند.
013_00	و برای آنها از معبودانشان شفیعانی نخواهد بود، و نسبت به معبودانشان (که آنها را همتهای خدا قرار داده بودند) کافر می شوند.
014_00	و روزی که قیامت بر پا شود، آن روز (مردم) از هم جدا می شوند.
015_00	اما کسانی که ایمان آورده اند و کار های شایسته انجام داده اند، آنان در باغی (از بهشت) شادمان و مسرور خواهند بود.
016_00	و اما کسانی که کافر شدند و آیات ما و دیدار آخرت را تکذیب کردند، پس اینان در عذاب (الهی) احضار شوند.
017_00	پس خدا را تسبیح گویید؛ هنگامی که شام می کنید و هنگامی که صبح می کنید.
018_00	و حمد و ستایش مخصوص اوست، در آسمانها و زمین، و عصرگاهان و هنگامی که ظهر می کنید.
019_00	زنده را از مرده بیرون می آورد، و مرده را از زنده بیرون می آورد، و زمین را پس از مردنش زنده می سازد، و همین گونه (روز قیامت از گورها) بیرون آورده می شوید.
020_00	و از نشانه های او (این) است که شما را از خاک آفرید، پس ناگاه شما انسانهای (زیادی شدید و در زمین) پراکنده گشتید.
021_00	و از نشانه های او (این) است که همسرانی از جنس خودتان برای شما آفرید؛ تا به آنها آرام گیرید، و
021_01	در میانتان مودت و رحمت قرار داد، بی گمان در این (امر) نشانه های است برای گروهی که تفکر می کنند.
022_00	و از نشانه های او آفرینش آسمانها و زمین، و اختلاف زبانهایتان و رنگهایتان است، بی تردید در این نشانه های برای دانایان است.
023_00	و از نشانه های او خوابیدن شما در شب و روز است، و تلاش و بهره جستن شما از فضل اوست، بی شک در این نشانه های است؛ برای گروهی که می شنوند.
024_00	و از نشانه های او (این) است که برق را برای بیم و امید به شما نشان می دهد، و از آسمان آبی نازل می
024_01	کند، آنگاه زمین را بعد از مردنش به آن (آب) زنده می کند؛ بی گمان در این نشانه های است؛ برای گروهی که می اندیشند.
025_00	و از نشانه های او (این) است که آسمانها وزمین به فرمانش (بر جای) می ایستند، پس هنگامی که با ندایی شما را از زمین فرار خواند، ناگهان شما خارج می شوید.
026_00	و از آن اوست هر که در آسمانها وزمین است، و همگی فرمانبردار او هستند.
027_00	و او کسی است آفرینش را آغاز می کند، سپس آن را باز می گرداند و این (باز گرداندن) بر او آسان تر است، و توصیف برتر در آسمانها و زمین برای اوست، و او پیرزومند حکیم است.
028_00	(خداوند) برای شما از خودتان مثلی زده است؛ آیا بردگانتان در آنچه به شما روزی دادایم، با شما شریک
028_01	هستند، تا شما در آن برابر (ویکسان) باشید، همانگونه که شما از (شرکای آزاد) خود بیم دارید از آنها
028_02	هم بیم داشته باشید؟! این چنین آیات را برای گروهی که تعقل می کنند به روشنی بیان می کنیم.
029_00	بلکه ستمکاران بدون علم و آگاهی از هوی و هوسهای خود پیروی کردند، پس آن را که خدا گمراه کرده است چه کسی هدایت می کند؟! و برای آنها هیچ یاوری نخواهد بود.
030_00	پس روی خود را با حق گرایی (و اخلاص) به سوی دین آور، فطرت الهی است، که (خداوند) مردم
030_01	را بر آن آفریده است، دگرگونی در آفرینش خدا نیست، این است دین استوار، و لیکن بیشتر مردم نمی دانند.
031_00	به سوی او باز گردید، و از او بترسید، و نماز را بر پا دارید، و از مشرکان نباشید.
032_00	از کسانی که دین خود را پاره پاره کردند، و فرقه فرقه شدند، و هر گروهی به آنچه نزد خود دارند؛ خوشحالند.
033_00	و هنگامی که (رنج و) زیانی به مردم برسد پروردگارشان را می خوانند، (و توبه کنان) به سوی او باز می گردند، سپس هنگامی که رحمتی از خودش به آنان بچشاند، ناگاه گروهی از آنان به پروردگارشان شرک می آورند.
034_00	تا به آنچه که به آنها داده ایم؛ کفران کنند ، پس (از لذات دنیا) بهره بگیرید، که به زودی خواهید دانست.
035_00	آیا دلیل محکمی بر آنها نازل کردیم ، پس آن (دلیل) از چیزی که با خدا شریک می سازند، سخن می گوید ؟!
036_00	و هنگامی که رحمتی به مردم بچشانیم به آن خوشحال می شوند، و اگر به خاطر اعمالی که انجام داده اند؛ رنج و مصیبتی به آنها برسد، ناگهان مأیوس می شوند.
