001_00	طسم (طا. سین. میم)
002_00	این آیات کتاب مبین است.
003_00	از داستان موسی و فرعون به حق بر تو می خوانیم، برای گروهی که ایمان می آورند.
004_00	بی گمان فرعون در زمین برتری جست و اهل آن را گروه گروه کرد، گروهی از آنها را به ضعف و ناتوانی
004_01	می کشاند، پسرانشان را سر می برید و زنانشان را (برای خدمت) زنده نگه می داشت، بی تردید او از مفسدان بود.
005_00	و می خواهیم بر کسانی که در زمین به استضعاف کشیده شده اند، منت گذاریم و آنان را پیشوایان سازیم، و آنان را وارثان (زمین) قرار دهیم.
006_00	و آنها را در زمین تمکّن (و حکومت) دهیم و به فرعون و هامان و لشکریان آن دو، از (دست) آنها (= بنی اسرائیل) آنچه را که از آن می ترسیدند، نشان دهیم.
007_00	و به مادر موسی الهام کردیم که : «او را شیر بده، پس هنگامی که بر او ترسیدی، او را به دریا (ی نیل)
007_01	بینداز، و نترس، و اندوهگین مشو، یقیناً ما او را به تو باز می گردانیم و او را از پیامبران قرار می دهیم ».
008_00	پس (هنگامی که مادر موسی او را به دریا افکند) خاندان فرعون او را (از آب) بر گرفتند، تا سرانجام دشمن و مایه ی اندوه شان شود، مسلماً فرعون و هامان و لشکریان شان خطا کار بودند.
009_00	و (آسیه) همسر فرعون گفت :«(این کودک) نور چشم من وتوست! او را نکشید، شاید به ما سود بخشد، یا او را به فرزندی گیریم» و آنان (از عاقبت آن) بی خبر بودند (و نمی فهمیدند).
010_00	و قلب مادر موسی (از همه چیز) تهی گشت، اگر دل او را (به ایمان) محکم نکرده بودیم تا از باور دارندگان باشد، نزدیک بود آن (راز) را فاش کند.
011_00	و (مادر موسی) به خواهر او گفت : «به دنبالش برو» پس (خواهرش) او را از دور دید، در حالی که آنها بی خبر بودند.
012_00	و (پستان) همه ی زنان شیر ده را از پیش بر او حرام کردیم، آنگاه (خواهرش) گفت: « آیا شما را به خانواده ای راهنمایی کنم که او را برایتان نگه دارند در حالی که آنها خیر خواه او باشند ؟!».
013_00	پس او را به مادرش باز گرداندیم تا چشمش روشن شود و غمگین نباشد، و تا بداند که وعده ی الله حق است، و لیکن بیشتر آنها نمی دانند.
014_00	و چون (موسی) به (مرحله ی بلوغ و) کمال قوت رسید و برومند شد، به او حکمت و علم دادیم، و این گونه نیکوکاران را پاداش می دهیم.
015_00	او هنگامی به شهر وارد شد که اهل آن در غفلت بودند، ناگهان دو مرد را دید با هم نزاع (و جنگ) می کردند، یکی از آنها
015_01	از پیروان او بود، و دیگری از دشمنانش، پس آن که از پیروان او بود بر(علیه) کسی که از دشمنانش بود از وی یاری خواست. پس (موسی)
015_02	به او مشت (محکمی) زد و کارش را ساخت، (ومُرد، موسی) گفت : «این از عمل شیطان بود، بی گمان او دشمن گمراه کننده ی آشکاری است».
016_00	(سپس) گفت :«پروردگارا ! من به خود ستم کردم، پس مرا ببخش» آنگاه (خداوند) او را بخشید، بی تردید او آمرزنده ی مهربان است.
017_00	گفت :« پروردگارا ! به شکرانه ی نعمتی که بر من عطا کردی، پس هرگز پشتیبان مجرمان نخواهم بود».
018_00	پس (موسی) در شهر ترسان، و چشم به راه حادثه (شب را) صبح نمود، که ناگهان (دید) همان کسی که دیروز از او یاری خواسته بود، او را فریاد می زند (و کمک می خواهد) موسی به او گفت:« بی گمان تو آشکارا (انسان ماجرا جو و) گمراه هستی».
019_00	پس هنگامی که (موسی) خواست به کسی که دشمن هر دوی آنها بود، حمله برد (و بزند، او فریاد زد و) گفت: «ای موسی !
019_01	آیا می خواهی مرا بکشی همان گونه که دیروز کسی را کشتی ؟! تو فقط می خواهی در زمین جبّاری باشی، و نمی خواهی که از مصلحان باشی !».
020_00	و(در این هنگام) مردی از دورترین نقطه ی شهر شتابان آمد (و) گفت : «ای موسی ! همانا بزرگان (و اشراف قوم) درباره ی تو مشورت می کنند؛ تا تو را بکشند، پس بی درنگ (از شهر) بیرون شو، بی تردید من از خیر خواهان تو هستم»
021_00	پس ترسان و چشم به راه حادثه،از شهر بیرون شد، گفت : « پروردگارا ! مرا از قوم ستمکار نجات بده».
022_00	و هنگامی که به (جانب شهر) مدین رو آورد؛ گفت :«امید است پروردگارم مرا به راه راست هدایت کند».
023_00	وچون به (چاه) آب مدین رسید، بر آن (چاه) گروهی از مردم را دید که (چهارپایان خود را) آب می دهند، و در کنار آنان دو زن را دید که (گوسفندان خود را) باز می دارند (و به چاه نزدیک
023_01	نمی شوند، موسی) گفت :«کار شما چیست ؟ (چرا گوسفندان خود را آب نمی دهید ؟!) گفتند:« ما (آنها را) آب نمی دهیم تا چوپانها باز گردند (و بروند) و پدر ما پیر کهنسال است (و توانایی این کار را ندارد)».
024_00	پس (موسی) برای گوسفندان آن دو آب داد، سپس رو به سایه آورد،آنگاه گفت : « پروردگارا! من هرخیری که بر من بفرستی نیازمند هستم».
025_00	آنگاه یکی از آن دو (زن) در حالی که با نهایت حیا گام بر می داشت، نزد او آمد، گفت :«همانا پدرم تو را دعوت می کند؛ تا مزد آب دادن (گوسفندان) را که برای ما انجام دادی، به تو بدهد»
025_01	پس چون (موسی) به نزد او آمد و داستان (سرگذشت خود) را بر او حکایت کرد، گفت : « نترس، از گروه ستمکاران نجات یافتی».
026_00	یکی از آن دو (دختر) گفت : « پدرجان ! او را اجیر کن، بی تردید بهترین کسی را که می توانی اجیر کنی، کسی است که نیرومند امین باشد (و او چنین است)».
027_00	(شعیب) گفت : «من می خواهم یکی از این دو دختر را به ازدواج تو در بیاورم به شرطی که هشت سال برای من کار کنی، و اگر (آن
027_01	را) تا ده سال تمام کنی، پس (لطف و) محبتی از سوی توست، من نمی خواهم بر تو سختگیری کنم، اگر خدا بخواهد مرا از صالحان خواهی یافت .
028_00	(موسی) گفت : «این (قرار داد) میان من و تو باشد که هر کدام از این دو مدت را انجام دادم بر من ستمی نخواهد بود، و خداوند بر آنچه می گوییم گواه است».
029_00	پس هنگامی که موسی (آن) مدت (معین) را به پایان رسانید، و همراه خانواده اش حرکت کرد، از سوی (کوه) طور آتشی دید؛ به خانواده اش گفت
029_01	:« درنگ کنید، همانا من آتشی دیدم، شاید خبری از آن برای شما بیاورم، یا شعله ای از آتش (بیاورم) تا شما (با آن) گرم شوید ».
030_00	پس هنگامی که به (نزدیکی) آن رسید، از کرانه ی راست وادی در جایگاه پر برکت، از (میان) یک درخت ندا داده شد که :«ای موسی ! یقیناً من الله، پروردگار جهانیانم .
031_00	و اینکه عصایت را بیفکن»- پس چون آن را دید که (با سرعت) می جنبد گوی که آن ماری است، (ترسید و) به عقب برگشت و پشت سر خود را نگاه نکرد - (فرمود: ) «ای موسی ! پیش آی، و نترس، بی گمان تو از ایمنان هستی.
032_00	دستت را در گریبان خود فرو کن، که سفید (و درخشنده) بی عیب بیرون بیاید، و بازویت را (برای حذر) از ترس به سوی خود (بیار و)
032_01	جمع کن، پس این دو (معجزه عصا و ید بیضا) دو برهان (روشن) از پروردگارت به سوی فرعون و اشراف (قوم) اوست، بی گمان آنها گروهی فاسق هستند».
033_00	(موسی) گفت :« پروردگارا ! همانا من یک تن از آنها را کشته ام، پس می ترسم که مرا بکشند.
034_00	و برادرم هارون زبانش از من فصیح تر است، پس او را همراه من بفرست تا یاورم باشد و مرا تصدیق کند، زیرا که می ترسم مرا تکذیب کنند».
