001_00	الم (الف. لام. میم ).
002_00	این آیات کتاب حکیم است.
003_00	هدایت ورحمت برای نیکوکاران است.
004_00	کسانی که نماز را بر پا می دارند، و زکات را می پردازند، و آنها به آخرت یقین دارند.
005_00	اینان از جانب پرودگارشان بر هدایت هستند، و اینان رستگارانند.
006_00	و از مردم کسی هست که سخنان بیهوده را می خرد؛ تا به نادانی (مردم را) از راه خدا گمراه سازد، و آن (آیات) را به ریخشند می گیرد، اینان برای شان عذاب خوار کننده است.
007_00	و هنگامی که آیات ما براو خوانده شود، تکبر کنان روی می گرداند، گویی که آن را نشنیده است، گویی در گوشهایش سنگینی است، پس او را به عذابی دردناک بشارت ده.
008_00	بی گمان کسانی که ایمان آوردند و کارهای شایسته انجام دادند، برای آنها باغهای پر نعمت (بهشت) است.
009_00	جاودانه در آن خواهند ماند، وعده ی خداوند راست است، و او پیروزمند حکیم است.
010_00	(خداوند) آسمانها را بدون ستون آفرید که می بینید، و در زمین کوه های استوار افکند تا شما را نلرزاند، و از هرگونه
010_01	جنبنده ای در آن بپراکند، و از آسمان آبی نازل کردیم، آنگاه در آن ( زمین) هر جفت (گیاه) پر ارزش (و نیکو) رویاندیم.
011_00	این آفرینش خداوند است، پس به من نشان دهید کسانی که غیر او هستند، چه چیزی را آفریده اند؟! بلکه ستمکاران در گمراهی آشکاری هستند.
012_00	و به راستی به لقمان حکمت دادیم، (و به او گفتیم) که : شکر خدا را به جای آور؛ و هرکس شکر کند تنها به سود خود شکر کرده است، وهر کس که کفران کند، پس بی تردید خداوند بی نیاز ستوده است.
013_00	و (به یاد آور) هنگامی را که لقمان به فرزندش در حالی که او را پند می داد، گفت :«ای پسرک من! به خدا شرک نیاور، بی گمان شرک، ستم بزرگی است.
014_00	و به انسان درباره ی پدر و مادرش سفارش کردیم، مادرش او را با ناتوانی روی ناتوانی حمل کرد، و از شیر باز گرفتنش در دو سال است، (آری، سفارش کردیم) که برای من و برای پدر و مادرت شکر به جای آور که باز گشت (همه ی شما) به سوی من است.
015_00	و اگر آن دو (مشرک باشند و) تلاش کنند که تو چیزی را که به آن علم نداری شریک من قرار دهی، پس از آنان اطاعت نکن، ودر دنیا با آنان به شایستگی رفتار کن،
015_01	و از راه کسی پیروی کن که (توبه کنان) به سوی من باز آمده است، سپس بازگشت (همه ی) شما به سوی من است، آنگاه شما را از آنچه انجام می دادید؛ آگاه می کنم.
016_00	ای پسرک من!
016_01	اگر (عمل نیک یا بد) به اندازه سنگینی دانه ی خردل باشد، آنگاه در درون تخته سنگی یا در آسمانها یا در زمین باشد، خداوند آن را (در روز قیامت برای حساب) می آورد، بی گمان خداوند باریک بین آگاه است.
017_00	ای پسرک من! نماز را بر پا دار، و امر به معروف کن و نهی از منکر کن، و بر هر آنچه به تو برسد صبر کن، بی تردید این از کارهای سترگ است.
018_00	و با بی اعتنایی از مردم روی مگردان، و مغرورانه در زمین راه مرو، بی گمان خداوند هیچ متکبر فخروشی را دوست ندارد.
019_00	و در راه رفتنت اعتدال را رعایت کن، و از صدای خود بکا (و هرگز فریاد نزن) زیرا زشت ترین صداها؛ صدای خران است.
020_00	آیا ندیدید که خداوند آنچه را که در آسمانها و آنچه را که در زمین است؛ مسخر شما کرده است، و نعمتهای خود را آشکار و پنهان (بطور فراوان) بر شما ارزانی داشته است؟!
020_01	و از مردم کسی هست که بدون هیچ دانش و هدایت و کتاب روشنگری درباره ی خدا مجادله می کند.
021_00	و هنگامی که به آنان گفته شود : «از آنچه خدا نازل کرده است؛ پیروی کنید»
021_01	گویند: « (نه) بلکه ما از چیزی پیروی می کنیم که نیاکان خود را بر آن یافتیم». آیا حتی اگر شیطان آنان را به سوی عذاب (آتش) سوزان دعوت کند (باز هم ازآنها پیروی می کنند؟!)
022_00	و کسی که روی خویش را تسلیم خدا کند در حالی که نیکوکار باشد، به راستی به دستگیره ی محکمی چنگ زده است، و سرانجام (همه ی) کارها به سوی خداست.
023_00	و کسی که کافر شود، پس کفر او تو را غمگین نسازد، بازگشت (همه ی) آنان به سوی ماست، پس آنان را از آنچه انجام داده اند؛ آگاه خواهیم کرد، بی تردید خداوند به آنچه درون سینه هاست؛ دانا است.
024_00	آنها را اندکی (از متاع دنیا) بهرمند می کنیم، سپس آنها را به (تحمل) عذاب سختی ناگزیر سازیم.
025_00	و اگر از آنها بپرسی :« چه کسی آسمانها و زمین را آفرید ؟!» مسلماً می گویند:«الله». بگو :« حمد و ستایش مخصوص خداوند است» بلکه بیشتر آنها نمی دانند.
026_00	آنچه در آسمانها و زمین است از آن خداست، بی گمان خداوند است که بی نیاز ستوده است.
027_00	و اگر (همه ی) درختان روی زمین قلم شود، و دریا (مرکب گردد) و هفت دریای دیگر به مدد آن بیاید، سخنان خدا پایان نمی یابد، بی تردید خداوند پیروزمند حکیم است.
028_00	آفرینش و بر انگیختن (همه ی) شما (در روز قیامت) جز مانند (آفرینش و زنده کردن) یک تن بیش نیست، بی گمان خداوند شنوای بیناست.
029_00	آیا ندیدی که خداوند شب را در روز داخل می کند، و روز را در شب داخل می گرداند، و خورشید و
029_01	ماه را مسخر کرده که هر یک تا زمانی معین در حرکت است، و یقیناً خداوند به آنچه انجام می دهید؛ آگاه است.
030_00	این بدان (سبب) است که خداوند حق است، و همانا آنچه به جز او می خوانند؛ باطل است، و همانا خداوند است که بلند مرتبه ی بزرگ است.
031_00	آیا ندیدی که کشتی به (فرمان و) نعمت خدا در دریا حرکت می کند، تا (خداوند) بخشی از نشانه های خود را به شما نشان دهد؟! بی گمان در این برای هر شکیبای سپاسگزار نشانه هایی است.
032_00	و هنگامی که (در دریا) موجی همچون سایه بان آنها را بپوشاند، خدا را با اخلاص می خوانند، پس چون آنها را (با آوردن) به خشکی نجات داد، آنگاه بعضی از آنان راه اعتدال را پیش می گیرند.
032_01	(و بر ایمان و عهد خود می مانند، در حالی که بعضی دیگر راه کفر را پیش می گیرند) و آیات ما را هیچ کس جزپیمان شکنان ناسپاس؛ انکار نمی کند.
033_00	ای مردم!
033_01	از پروردگارتان بپرهیزید، و از روزی بترسید که نه پدر کیفر فرزندش را به عهده می گیرید، و نه فرزند چیزی از کیفر (اعمال) پدرش را عهده دار می شود، یقیناً وعده خداوند حق است، پس زندگی دنیا شما را نفریبد، و (شیطان) فریبکار شما را نسبت به خدا نفریبد.
034_00	بی گمان علم (زمان) قیامت نزد خداست، و (او) باران را نازل می کند، و آنچه را که در رحمهاست می داند، و هیچ کس
034_01	نمی داند فردا چه چیز به دست می آورد، و هیچ کس نمی داند که در کدام سرزمین می میرد، یقیناً خداوند دانای آگاه است.
