001_00	آنچه در آسمانها و آنچه در زمین است تسبیح الله می‌گویند، و او پیروزمند حکیم است.
002_00	ای کسانی که ایمان آورده اید! چرا چیزی را می‌گویید که عمل نمی‌کنید؟!.
003_00	نزد الله سخت ناپسند (و موجب خشم) است آن که چیزی را بگویید که عمل نمی‌کنید.
004_00	بی‌گمان الله کسانی را که چون بنیانی آهنین صف بسته در راه او پیکار می‌کنند دوست دارد.
005_00	و (ای پیامبر! به یاد آور) هنگامی را که موسی به قومش گفت: «ای قوم من!
005_01	چرا مرا آزار (و اذیت) می‌رسانید، در حالی که می‌دانید بی‌گمان من فرستادة الله به سوی شما هستم؟» پس چون آنها (از حق) منحرف شدند، الله دلهایشان را منحرف ساخت، و الله قوم نافرمان را هدایت نمی‌کند.
006_00	و (یادآور باش) هنگامی که عیسی پسر مریم گفت: «ای بنی اسرائیل! بی‌گمان من فرستادة الله به سوی شما هستم، آنچه از تورات که پیش از من بوده تصدیق می‌کنم و (نیز) مژده دهنده به رسولی هستم که بعد از من می‌آید، و نامش «احمد»
006_01	است» پس هنگامی که او (احمد) با معجزه‌ها (و دلایل روشن) به سوی آنان آمد، گفتند: «این جادوی آشکار است».
007_00	و چه کسی ستمکارتر است از آنکس که بر الله دروغ ببندد، در حالی که او به (دین) اسلام دعوت می‌شود؟! و الله گروه ستمگاران را هدایت نمی‌کند.
008_00	آنها می‌خواهند نور الله را با دهان خود خاموش کنند، ولی الله کامل‌کنندة نور خویش است هرچند کافران خوش نداشته باشند.
009_00	او کسی است که رسول خدا را با هدایت و دین حق فرستاد تا آن را بر همة ادیان غالب گرداند، هرچند مشرکان خوش نداشته باشند.
010_00	ای کسانی که ایمان آورده اید! آیا شما را به تجارتی راهنمایی کنم که شما را از عذاب دردناک نجات می‌دهد؟.
011_00	به الله و پیامبرش ایمان بیاورید، و با اموال و جان‌هایتان در راه الله جهاد کنید، اگر بدانید این (کار) برای شما بهتر است.
012_00	(اگر چنین کردید، الله) گناهان‌تان را می‌بخشد، و شما را در باغ‌هایی (از بهشت) وارد می‌کند که نهرها از زیر (درختان) آن جاری است، و در خانه‌های پاکیزه در بهشت جاویدان (جای می‌دهد)، این کامیابی بزرگی است.
013_00	و (نعمت) دیگری که آن را دوست دارید (نیز به شما عنایت می‌فرماید) که آن یاری از سوی الله و پیروزی نزدیک است، و مؤمنان را (به این پیروزی) بشارت ده.
014_00	ای کسانی که ایمان آورده اید!
014_01	یاوران (دین) الله باشید، همانگونه که عیسی پسر مریم به حواریون گفت: «چه کسانی یاوران من (در دعوت) به سوی الله هستند؟!»
014_02	حواریون گفتند: «ما یاوران (دین) الله هستیم» پس گروهی از بنی اسرائیل ایمان آوردند، و گروهی کافر شدند، آنگاه ما کسانی را که ایمان آورده بودند بر دشمنان‌شان قوت (و توانایی) دادیم و سرانجام پیروز شدند.
