001_00	ای پیامبر!
001_01	هرگاه خواستید زنان را طلاق دهید، پس آنها را در زمان (آغاز) عدّه طلاق دهید، و حساب عدّه را نگه دارید، و از الله که پروردگار شماست بترسید، نه شما آنها را از خانه‌هایشان بیرون کنید، و نه آنها بیرون روند، مگر آن که کار زشت آشکاری مرتکب شوند، و این حدود الله است، و هرکس از حدود الله تجاوز کند پس مسلماً به خود ستم کرده است.
001_02	تو نمی‌دانی، شاید الله پس از آن وضع تازه‌ای فراهم آورد (که به صلح و آشتی منجر شود).
002_00	پس چون (آنها را طلاق دادید و) عدّة آنها به سر رسید، آنها را بطرز شایسته‌ای نگه دارید یا بطرز شایسته‌ای از آنها جدا شوید، و دو فرد عادل از خودتان را گواه بگیرید، و شهادت را
002_01	برای الله برپا دارید، این (حکمی است) که کسی که به الله و روز قیامت ایمان دارد به آن پند و اندرز داده می‌شود، و هرکس که از الله بترسد، (الله) راه نجاتی برای او قرار می‌دهد.
003_00	و او را از جایی که گمان ندارد روزی می‌دهد، و هرکس بر الله توکل کند، پس همان او را کافی است. بی‌گمان الله فرمان خود را به انجام می‌رساند، مسلّماً الله برای هر چیزی اندازه‌ای قرار داده است.
004_00	و کسانی از زنان‌تان که از عادت ماهانه مأیوس شده اند، - اگر شک کردید - عدّة آنها سه ماه است و (نیز) آنها که حیض نشده اند.
004_01	و عدّة زنان بار دار این است که بار خود را بگذارند، و هرکس از الله بترسد، (الله) کارش را برایش آسان می‌سازد.
005_00	این فرمان الله است که بر شما نازل کرده است، و هرکس از الله بترسد، الله گناهانش را از او می‌زداید (و می‌بخشد) و پاداش او را بزرگ می‌گرداند.
006_00	آنان (زنان مطلقه) را در حد توانتان هر جای که خودتان سکونت دارید، سکونت دهید، و به آنها زیان نرسانید تا (عرصه را) بر آنان تنگ کنید، (و پیش از
006_01	پایان عده مجبور به ترک منزل شوند) و اگر بار دار باشند نفقة آنها را بدهید تا آن که حمل خود را بگذارند. پس اگر (فرزندتان را) برای شما شیر
006_02	می‌دهند، مزدشان را بپردازید، و (این کار را) به نیکی و با مشورت همدیگر انجام دهید، و اگر به توافق نرسیدید، پس زن دیگری (به درخواست شوهر) او را شیر دهد.
007_00	آنان که دارا (و ثروتمند) هستند باید از دارایی (و ثروت) خود انفاق کنند، و کسی که تنگدست است پس باید از آنچه که الله به او داده
007_01	انفاق کند، الله هیچکس را جز به اندازة (توانایی) که به او داده مکلّف نمی‌کند، الله به زودی بعد از سختی (و تنگدستی) آسانی (و گشایش) قرار می‌دهد.
008_00	چه بسیار (اهالی) آبادی‌ها که از فرمان پروردگارشان و (فرمان) پیامبران او سرپیچی کردند، پس ما به شدت از آنها حساب کشیدیم، و به عذابی سخت (و سهمناک) آنان را عذاب کردیم.
009_00	پس آنها (طعم) عقوبت کار خود را چشیدند، و سرانجام کارشان زیان بود.
010_00	الله عذاب سختی برای آنها آماده کرده است. پس ای خرمندانی که ایمان آورده اید! از الله بترسید، محققاً الله ذکر (قرآن) را به سوی شما نازل کرده است.
011_00	(و نیز) پیامبری (به سوی شما فرستاده) که آیات روشن الله را بر شما می‌خواند، تا کسانی را که ایمان آورده اند و کارهای شایسته انجام داده اند از تاریکی‌ها به سوی نور بیرون آورد.
011_01	و هرکس به الله ایمان آورد و کار شایسته انجام دهد (الله) او را به باغ‌هایی (از بهشت) وارد می‌کند که از زیر (درختان) آن نهرها جاری است، جاودانه در آن بمانند، به راستی الله رزق و روزیش را نیکو گردانیده است.
012_00	الله (همان) کسی است که هفت آسمان را آفرید، و از زمین (نیز) همانند آنها را (آفرید).
012_01	و فرمان (الله) پیوسته در میان آنها نازل می‌شود تا بدانید که الله بر هرچیز تواناست، و آن که علم الله بر همه چیز احاطه دارد.
