001_00	آنچه در آسمانها و آنچه در زمین است تسبیح الله می‌گویند، (الله) که فرمانروا، پاک پیروزمندِ حکیم است.
002_00	او کسی است که در میان درس ناخواندگان رسولی از خودشان برانگیخت که آیاتش را بر آنها می‌خواند، و آنها را پاک (و تزکیه) می‌کند و به آنان کتاب (قرآن) و حکمت (سنت) می‌آموزد، و اگرچه پیش از این در گمراهی آشکار بودند.
003_00	و (نیز این پیامبر) بر گروه دیگری از آنان (برانگیخته شده) که هنوز به آنها نپیوسته اند، و او پیروزمند حکیم است.
004_00	این فضل الله است که آن را به هرکس که بخواهد می‌بخشد و الله دارای فضل عظیم است.
005_00	مَثَل کسانی که به تورات مکلّف شدند، آنگاه برنداشتند آن را (یعنی: حق آن را ادا نکردند) همچون خری است که کتاب‌هایی را
005_01	حمل می‌کند (اما از آن چیزی نمی‌فهمد) چه بد است مَثَل گروهی که آیات الله را تکذیب کردند، و الله گروه ستمکاران هدایت نمی‌کند.
006_00	(ای پیامبر!) بگو: «ای کسانی که یهودی شدید! اگر گمان دارید که (تنها) شما دوستان الله هستید نه مردم دیگر، پس آرزوی مرگ کنید، اگر راست می‌گویید».
007_00	ولی آنها به خاطر آنچه از پیش فرستاده اند هرگز آن آرزو را نخواهند کرد، و الله ستمکاران را خوب می‌شناسد.
008_00	(ای پیامبر!) بگو: «بی‌گمان آن مرگی که از آن فرار می‌کنید، یقیناً به شما خواهد رسید، سپس به سوی (الله آن) دانای غیب و آشکار باز گردانده می‌شوید، آنگاه شما را از آنچه انجام می‌دادید خبر می‌دهد».
009_00	ای کسانی که ایمان آورده اید!
009_01	هنگامی که در روز جمعه برای نماز اذان گفته شد به سوی (نماز و) ذکر الله بشتابید و خرید و فروش را رها کنید، اگر بدانید این برای شما بهتر است.
010_00	پس هنگامی که نماز پایان یافت، (برای کسب رزق و روزی) در زمین پراکنده شوید، و از فضل الله طلب کنید، و الله را بسیار یاد کنید تا رستگار شوید.
011_00	و (ای پیامبر!
011_01	برخی از این مردم) هنگامی که تجارتی یا سرگرمیی را ببینند به سوی آن پراکنده می‌شوند و تو را ایستاده (بر منبر) رها می‌کنند، بگو: «آنچه در نزد الله است بهتر از سرگرمی و تجارت است، و الله بهترین روزی‌دهندگان است».
