001_00	Glorifica Allah ciò che è nei cieli e nella terra. Egli è l'Eccelso, il Saggio.
002_00	Appartiene a Lui la sovranità dei cieli e della terra, dà vita e dà morte, Egli è l'Onnipotente.
003_00	Egli è il Primo e l'Ultimo, il Palese e l'Occulto, Egli è l'Onnisciente.
004_00	Egli è Colui Che in sei giorni ha creato i cieli e la terra, poi Si è innalzato sul trono.
004_01	Egli conosce ciò che penetra nella terra e ciò che ne esce, quel che scende dal cielo e quel che vi ascende; Egli è con voi ovunque voi siate.
004_02	Allah osserva ciò che fate.
005_00	Appartiene a Lui la sovranità dei cieli e della terra. Ad Allah tutte le cose saranno ricondotte.
006_00	Fa penetrare la notte nel giorno e il giorno nella notte e conosce perfettamente quel che nascondono i petti.
007_00	Credete in Allah e nel Suo Messaggero e date [una parte] di ciò di cui Allah vi ha fatto vicari. Per coloro che credono e saranno generosi, ci sarà ricompensa grande.
008_00	Perché mai non credete in Allah, nonostante che il Messaggero vi esorti a credere nel vostro Signore? Egli ha accettato il vostro patto, [rispettatelo] se siete credenti.
009_00	Egli è Colui Che ha fatto scendere sul Suo servo segni evidenti, per trarvi dalle tenebre alla luce; in verità Allah è dolce e misericordioso nei vostri confronti.
010_00	Perché non siete generosi per la causa di Allah, quando ad Allah [appartiene] l'eredità dei cieli e della terra? Non sono eguali coloro di voi che sono stati generosi e hanno combattuto prima della Vittoria, essi godranno di un livello più alto - e quelli che saranno generosi e combatteranno dopo.
010_01	Comunque, a ciascuno di loro Allah ha promesso il meglio. Allah è ben informato di quello che fate.
011_00	Quanto a chi fa ad Allah un prestito bello, Egli glielo raddoppia e gli concederà generosa ricompensa.
012_00	Un Giorno vedrai i credenti e le credenti circondati dalla loro luce: “Oggi vi è data la lieta novella di
012_01	Giardini nei quali scorrono i ruscelli, dove rimarrete in perpetuo: questo è davvero l'immenso successo”.
013_00	Il Giorno in cui gli ipocriti e le ipocrite diranno ai credenti: “Aspettateci, ché possiamo attingere della vostra luce”.
013_01	Sarà risposto loro: “Tornate indietro a cercare la luce”. Fra di loro, sarà poi eretta una muraglia dotata di una porta: al suo interno la misericordia, all'esterno, di fronte, il castigo.
014_00	“Non eravamo con voi?” grideranno.
014_01	“Sì - risponderanno _ ma seduceste voi stessi, indugiaste e dubitaste, e vi lasciaste ingannare dalle vostre passioni finché non si realizzò il Decreto di Allah. Vi ingannò a proposito di Allah l'Ingannatore.”
015_00	Quest'oggi non sarà accettato riscatto né da voi, né da coloro che non credettero. Vostro rifugio sarà il Fuoco: questo è il vostro inseparabile compagno. Qual triste rifugio!
016_00	Non è forse giunto, per i credenti, il momento in cui rendere umili i loro cuori nel ricordo di Allah e nella verità che è stata rivelata,
016_01	e di differenziarsi da quelli che ricevettero la Scrittura in precedenza e che furono tollerati a lungo [da Allah]? I loro cuori si indurirono e molti di loro divennero perversi.
017_00	Sappiate che Allah ravviva la terra morta! Invero vi abbiamo esplicitato i segni affinché riflettiate.
018_00	Coloro che fanno la carità, uomini o donne, concedono un bel prestito ad Allah; lo riscuoteranno raddoppiato e avranno generoso compenso.
019_00	Coloro che credono in Allah e nei Suoi Messaggeri, essi sono i veridici, i testimoni presso Allah: avranno la loro ricompensa e la loro luce.
019_01	Coloro che invece non credono e tacciano di menzogna i Nostri segni, questi sono i compagni della Fornace.
020_00	Sappiate che questa vita non è altro che gioco e svago, apparenza e reciproca iattanza, vana contesa di beni e progenie.
020_01	[Essa è] come una pioggia: la vegetazione che suscita, conforta i seminatori, poi appassisce, la vedi ingiallire e quindi diventa stoppia.
020_02	Nell'altra vita c'è un severo castigo, ma anche perdono e compiacimento da parte di Allah. La vita terrena non è altro che godimento effimero.
021_00	Affrettatevi al perdono del vostro Signore e al Giardino vasto come il cielo e la terra, preparato per coloro che credono in Allah e nei Suoi messaggeri.
021_01	Questa è la grazia di Allah, che Egli dà a chi vuole. Allah possiede immensa grazia.
022_00	Non sopravviene sventura né alla terra né a voi stessi, che già non sia scritta in un Libro prima ancora che [Noi] la produciamo; in verità ciò è facile per Allah.
023_00	E ciò affinché non abbiate a disperarvi per quello che vi sfugge e non esultiate per ciò che vi è stato concesso. Allah non ama i superbi vanagloriosi
024_00	[e] gli avari che impongono agli altri l'avarizia. Quanto a chi volge le spalle, [sappia che] Allah basta a Se stesso, è il Degno di lode.
025_00	Invero inviammo i Nostri messaggeri con prove inequivocabili, e facemmo scendere con loro la Scrittura e la Bilancia, affinché gli uomini osservassero l'equità.
025_01	Facemmo scendere il ferro, strumento terribile e utile per gli uomini, affinché Allah riconosca chi sostiene Lui e i Suoi messaggeri in ciò che è invisibile. Allah è forte, eccelso.
026_00	Invero inviammo Noè e Abramo e concedemmo ai loro discendenti la profezia e la Scrittura. Alcuni di loro furono ben diretti, ma la maggior parte fu empia.
027_00	Mandammo poi sulle loro orme i Nostri messaggeri e mandammo Gesù figlio di Maria, al quale demmo il Vangelo.
027_01	Mettemmo nel cuore di coloro che lo seguirono dolcezza e compassione;
027_02	il monachesimo, invece, lo istituirono da loro stessi, soltanto per ricercare il compiacimento di Allah.
027_03	Non fummo Noi a prescriverlo. Ma non lo rispettarono come avrebbero dovuto. Demmo la loro ricompensa a quanti fra loro credettero, ma molti altri furono empi.
028_00	O credenti, temete Allah e credete nel Suo Messaggero, affinché Allah vi dia due parti della Sua misericordia, vi conceda una luce nella quale camminerete e vi perdoni.
028_01	Allah è perdonatore, misericordioso.
029_00	La gente della Scrittura sappia che non ha alcun potere sulla Grazia di Allah.
029_01	In verità la Grazia è nella mano di Allah ed Egli la concede a chi vuole. Allah possiede immensa Grazia.
