001_00	Alif, Lâm, Mîm.
002_00	Sono stati sconfitti i Romani
003_00	nel paese limitrofo; ma poi, dopo essere stati vinti, saranno vincitori,
004_00	tra meno di dieci anni - appartiene ad Allah il destino del passato e del futuro - e in quel giorno i credenti si rallegreranno
005_00	dell'aiuto di Allah: Egli aiuta chi vuole, Egli è l'Eccelso, il Misericordioso.
006_00	Promessa di Allah. Allah non manca alla Sua promessa, ma la maggior parte degli uomini non sa:
007_00	essi conoscono [solo] l'apparenza della vita terrena e non si curano affatto dell'altra vita.
008_00	Non hanno riflettuto in loro stessi? Allah ha creato i cieli e la terra e tutto ciò che vi è frammezzo secondo verità e per un termine stabilito.
008_01	Molti uomini però non credono nell'incontro con il loro Signore.
009_00	Non hanno forse viaggiato sulla terra, e visto quel che è accaduto a coloro chi li hanno preceduti? Erano più forti di loro e avevano coltivato e popolato la terra più di quanto essi non l'abbiano fatto.
009_01	Giunsero con prove evidenti Messaggeri della loro gente: non fu Allah a far loro torto,
009_02	furono essi a far torto a se stessi.
010_00	E fu triste il destino di quelli che fecero il male, smentirono i segni di Allah e li schernirono.
011_00	È Allah che dà inizio alla creazione e la reitera; quindi a Lui sarete ricondotti.
012_00	Il Giorno in cui si leverà l'Ora, saranno disperati i colpevoli.
013_00	E non avranno più intercessori tra coloro che associavano [ad Allah], ma rinnegheranno le loro stesse divinità.
014_00	E il Giorno in cui giungerà l'Ora, in quel Giorno verranno separati.
015_00	Coloro che avranno creduto e compiuto il bene, gioiranno in un prato fiorito.
016_00	Mentre coloro che saranno stati miscredenti e avranno tacciato di menzogna i Nostri segni e l'incontro nell'altra vita, saranno condotti al castigo.
017_00	Rendete gloria ad Allah, alla sera e al mattino.
018_00	A Lui la lode nei cieli e sulla terra, durante la notte e quando il giorno comincia a declinare.
019_00	Dal morto trae il vivo e dal vivo trae il morto e ridà vita alla terra che già era morta. Così vi si farà risorgere.
020_00	Fa parte dei Suoi segni l'avervi creati dalla polvere, ed eccovi uomini che si distribuiscono [sulla terra].
021_00	Fa parte dei Suoi segni l'aver creato da voi, per voi, delle spose, affinché riposiate presso di loro, e ha stabilito tra voi amore e tenerezza.
021_01	Ecco davvero dei segni per coloro che riflettono.
