001_00	Hâ', Mîm.
002_00	Per il Libro esplicito.
003_00	Ne abbiamo fatto un Corano arabo affinché comprendiate!
004_00	Esso è presso di Noi, nella Madre del Libro, sublime e colmo di saggezza.
005_00	Dovremmo dunque escludervi dal Monito perché siete gente perversa?
006_00	Quanti profeti abbiamo inviato agli antichi!
007_00	E nessun profeta venne loro senza che lo schernissero.
008_00	Ne facemmo perire di ben più temibili! Già è nota la sorte degli antichi.
009_00	E se chiedi loro: “Chi ha creato i cieli e la terra?”, di certo risponderanno: “Li ha creati l'Eccelso, il Sapiente”.
010_00	Colui Che della terra ha fatto una culla e vi ha tracciato i sentieri affinché possiate guidarvi,
011_00	e dal cielo ha fatto scendere con misura un'acqua, tramite la quale ridiamo la vita ad una terra morta: allo stesso modo vi resusciterà.
012_00	Ha creato tutte le specie e vi ha dato vascelli e animali sui quali montate,
013_00	sicché possiate sedere sui loro dorsi e ricordiate i favori del vostro Signore dicendo: “Gloria a Colui Che ha messo tutto ciò a nostro servizio, mentre non eravamo neppure in grado di domarli!
014_00	In verità noi ritorneremo verso il nostro Signore”.
015_00	Gli hanno ascritto i Suoi servi come fossero una parte [di Lui]. L'uomo è davvero ingrato.
016_00	Si sarebbe forse preso delle figlie tra ciò che ha creato e avrebbe concesso a voi i maschi?
017_00	Quando si annuncia a uno di loro ciò che attribuisce al Compassionevole, si adombra il suo viso e si rattrista.
018_00	“Quest'essere allevato tra i fronzoli, illogico nella discussione?”
019_00	Considerano femmine gli angeli, i servi del Compassionevole. Sono forse stati testimoni della loro creazione? La loro affermazione sarà scritta e saranno interrogati in proposito.
020_00	Dicono: “Se il Compassionevole avesse voluto, non le avremmo adorate”. Non hanno alcuna scienza in proposito, non esprimono che mere supposizioni.
021_00	O forse, prima di questo, demmo loro una Scrittura alla quale si attengono?
022_00	No, dicono piuttosto: “Abbiamo trovato i nostri avi far parte di una comunità, noi seguiamo le loro orme”.
023_00	Mai inviammo prima di te alcun ammonitore ad una città, senza che quelli che vivevano nell'agiatezza dicessero: “Abbiamo trovato i nostri avi far parte di una comunità e ricalchiamo le loro orme”.
024_00	Diceva [l'ammonitore]: “Anche se vi portassi una Guida migliore di quella che seguivano i vostri avi?”. Rispondevano: “Invero non crediamo in quello con cui siete stati inviati”.
025_00	Ci vendicammo di loro. Considera perciò quel che subirono quanti tacciavano di menzogna.
026_00	E [ricorda] quando Abramo disse a suo padre e al suo popolo: “Io rinnego tutto quello che voi adorate,
027_00	eccetto Colui Che mi ha creato, poiché è Lui che mi guiderà”.
028_00	E di ciò fece una parola che doveva perpetuarsi nella sua discendenza: forse ritorneranno [ad Allah].
029_00	E anzi, concessi a quelle genti e ai loro avi temporaneo godimento, finché fosse giunta loro la Verità e un Messaggero esplicito.
030_00	Ma quando la Verità giunse loro, dissero: “È magia, noi non crediamo in essa!”.
031_00	E dicono: “Perché questo Corano non è stato rivelato ad un maggiorente di una di queste due città?”.
032_00	Sono forse loro i dispensatori della misericordia del tuo Signore? Siamo Noi che distribuiamo tra loro la sussistenza in questa vita,
032_01	che innalziamo alcuni di loro sugli altri, in modo che gli uni prendano gli altri a loro servizio. La misericordia del tuo Signore è però [di gran lunga] migliore di quello che accumulano.
033_00	Se non fosse per il fatto che [in tal modo] gli uomini sarebbero diventati una sola comunità [di miscredenti], avremmo fatto d'argento i tetti delle case di coloro che non credono al Compassionevole, e scale per accedervi.
034_00	[Ugualmente avremmo fatto] per le loro case, porte e divani [d'argento] sui quali distendersi,
035_00	e ornamenti d'oro. Tutto ciò non sarebbe che godimento effimero di questa vita, mentre l'Altra vita, presso il tuo Signore, è per i timorati.
036_00	Assegneremo la compagnia inseparabile di un diavolo a chi si distoglie dal Monito del Compassionevole.
037_00	In verità [i diavoli] frappongono ostacoli sulla via di Allah e [gli uomini] credono di essere sulla buona strada.
038_00	Quando poi [un tal uomo] verrà a Noi, dirà: “Ahimè, quanto vorrei che tra te e me ci fosse la distanza che separa i due Orienti!” Che detestabile compagno!
039_00	Ma non vi servirà a nulla in quel Giorno, poiché siete stati ingiusti e pertanto sarete insieme nel castigo.
040_00	Puoi forse far sentire il sordo o dirigere il cieco e colui che persiste nell'errore palese?
041_00	Ci vendicheremo di loro, sia che ti facciamo morire,
042_00	sia che ti facciamo vedere quel che gli promettemmo, poiché Noi prevarremo su di loro.
043_00	Stringi con forza quello che ti è stato rivelato. Tu sei sulla retta via.
044_00	In verità questo è un Monito per te e per il tuo popolo; presto sarete interrogati [in proposito].
045_00	Chiedi ai Nostri messaggeri che inviammo prima di te, se mai indicammo dèi da adorare all'infuori del Compassionevole.
046_00	Già inviammo Mosè con i Nostri segni al Faraone e ai suoi notabili. Disse: “Io sono il messaggero del Signore dei mondi”.
047_00	Quando mostrò loro i Nostri segni, essi li schernirono,
048_00	mentre ogni segno che facemmo vedere loro era più grande dell'altro! Li colpimmo con il castigo affinché tornassero a Noi...
049_00	Dissero: “O mago, implora per noi il tuo Signore, in nome del patto che ha stretto con te. Allora certamente ci lasceremo guidare”.
050_00	Quando poi allontanammo il castigo da loro, vennero meno [al giuramento].
051_00	Faraone arringò il suo popolo e disse: “O popol mio, forse non mi appartiene il regno dell'Egitto, con questi canali che scorrono ai miei piedi? Non vedete dunque?
052_00	Non son forse migliore di questo miserabile che sa appena esprimersi?
053_00	Perché non gli sono stati lanciati braccialetti d'oro [dal cielo], perché non lo accompagnano schiere di angeli?”.
054_00	Cercò così di confondere il suo popolo ed essi gli obbedirono: era gente malvagia.
055_00	Quando poi Ci irritarono, Ci vendicammo di loro e li affogammo tutti.
056_00	Facemmo di loro un ricordo e un esempio per i posteri.
057_00	Quando viene proposto l'esempio del figlio di Maria, il tuo popolo lo rifiuta
058_00	dicendo: “I nostri dèi non sono forse migliori di lui?”. Ti fanno questo esempio solo per amor di polemica, ché sono un popolo litigioso.
059_00	Egli non era altro che un Servo, che Noi abbiamo colmato di favore e di cui abbiamo fatto un esempio per i Figli di Israele.
060_00	Se volessimo, trarremmo angeli da voi ed essi vi sostituirebbero sulla terra.
061_00	Egli è un annuncio dell'Ora. Non dubitatene e seguitemi, questa è la retta via.
062_00	Non ve ne distolga Satana, egli è vostro dichiarato nemico.
063_00	Quando Gesù portò le prove evidenti disse: “Sono venuto a voi con la saggezza e per rendervi esplicita una parte delle cose su cui divergete. Temete Allah e obbeditemi.
064_00	In verità Allah è il mio e vostro Signore. AdorateLo allora. Ecco la retta via”.
065_00	Ma le loro fazioni furono tra loro discordi. Guai agli ingiusti per via del castigo di un Giorno doloroso.
066_00	Aspettano altro che l'Ora? Verrà all'improvviso, senza che se ne avvedano.
067_00	In quel Giorno gli amici saranno nemici gli uni degli altri, eccetto i timorati.
068_00	[Verrà loro detto:] “O Miei servi, oggi non avrete paura e non sarete afflitti,
069_00	[poiché siete] coloro che credono nei Miei segni e sono sottomessi:
070_00	entrate nel Paradiso, voi e le vostre spose, sarete onorati
071_00	circoleranno tra loro vassoi d'oro e calici, e colà ci sarà quel che desiderano le anime e la delizia degli occhi - e vi rimarrete in perpetuo.
072_00	Ecco il Paradiso che vi è stato fatto ereditare per quel che avete fatto.
073_00	E vi saranno molti frutti e ne mangerete”.
074_00	I malvagi rimarranno in eterno nel castigo dell'Inferno
075_00	che non sarà mai attenuato e in cui si dispereranno.
076_00	Non saremo Noi ad essere ingiusti nei loro confronti: sono loro gli ingiusti.
077_00	Urleranno: “O Mâlik, che ci finisca il tuo Signore!”.
078_00	Già vi portammo la verità, ma la maggior parte di voi detestava la verità.
079_00	Hanno voluto tendere le loro trame? Anche Noi abbiamo tramato.
080_00	O forse credono che non ascoltiamo i loro segreti e le loro confidenze? Invece sì, i Nostri angeli registrano dinnanzi a loro.
081_00	Di': “Se il Compassionevole avesse un figlio, sarei il primo ad adorarlo”.
082_00	Gloria al Signore dei cieli e della terra, al Signore del Trono, ben al di sopra di quel che Gli attribuiscono.
083_00	Lasciali divagare e giocare, finché non incontreranno il Giorno che è stato loro promesso.
084_00	Egli è Colui Che è Dio nel cielo e Dio sulla terra. Egli è il Saggio, il Sapiente.
085_00	Sia benedetto Colui cui appartiene la sovranità dei cieli, della terra e di quel che vi è frammezzo. Presso di Lui è la scienza dell'Ora. A Lui sarete ricondotti.
086_00	Coloro che essi invocano all'infuori di Lui, non hanno alcun potere di intercessione, eccetto coloro che avranno testimoniato la verità con piena conoscenza.
087_00	Se chiedi loro chi li abbia creati, risponderanno certamente: “Allah”. Come possono allora allontanarsi da Lui?
088_00	E [a] quel grido [del Profeta]: “O Signore! Questo è un popolo che non crede!”,
089_00	[risponderà Allah]: “Allontanati da loro [o Muhammad] e di': "Pace". Presto sapranno”.
